date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Memphis,108,Dallas,119
2003-11-02,Dallas,97,Phoenix,83
2003-11-04,Dallas,107,Golden State,100
2003-11-06,Toronto,92,Dallas,106
2003-11-08,Chicago,87,Dallas,114
2003-11-09,Dallas,114,Detroit,75
2003-11-11,Dallas,82,Portland,73
2003-11-13,Cleveland,99,Dallas,103
2003-11-15,Boston,86,Dallas,97
2003-11-16,Brooklyn,88,Dallas,96
2003-11-19,Dallas,98,Los Angeles,72
2003-11-21,Dallas,103,Houston,90
2003-11-23,Dallas,115,Oklahoma City,105
2003-11-27,Detroit,82,Dallas,102
2003-11-28,Indiana,110,Dallas,98
2003-11-30,Dallas,103,Chicago,90
2003-12-02,Dallas,113,Toronto,102
2003-12-04,Portland,88,Dallas,103
2003-12-06,Los Angeles,105,Dallas,103
2003-12-07,Golden State,116,Dallas,121
2003-12-10,Dallas,122,LA,95
2003-12-11,San Antonio,111,Dallas,104
2003-12-14,Dallas,104,Memphis,87
2003-12-17,Dallas,118,Indiana,97
2003-12-18,Denver,75,Dallas,80
2003-12-20,Dallas,81,Utah,93
2003-12-23,Dallas,92,Washington,86
2003-12-26,New Orleans,81,Dallas,83
2003-12-28,Dallas,107,NY Knicks,82
2003-12-30,Dallas,107,Milwaukee,110
2003-01-02,Dallas,102,LA,92
2003-01-04,Dallas,102,Philadelphia,83
2003-01-06,Dallas,86,Denver,71
2003-01-08,Atlanta,99,Dallas,117
2003-01-10,Dallas,103,Boston,78
2003-01-12,LA,90,Dallas,96
2003-01-15,Sacramento,123,Dallas,94
2003-01-17,Phoenix,111,Dallas,106
2003-01-19,Oklahoma City,85,Dallas,81
2003-01-21,Dallas,107,Houston,86
2003-01-23,Philadelphia,94,Dallas,107
2003-01-24,NY Knicks,90,Dallas,101
2003-01-26,Dallas,93,Portland,100
2003-01-29,Houston,81,Dallas,104
2003-01-30,Dallas,112,Minnesota,109
2003-02-01,Dallas,122,Denver,100
2003-02-03,Utah,90,Dallas,92
2003-02-04,Dallas,109,Sacramento,110
2003-02-11,Minnesota,100,Dallas,98
2003-02-12,Milwaukee,120,Dallas,114
2003-02-14,Memphis,103,Dallas,110
2003-02-15,Dallas,98,Miami,92
2003-02-18,Dallas,105,Atlanta,79
2003-02-20,Dallas,95,San Antonio,87
2003-02-21,Houston,85,Dallas,100
2003-02-23,Washington,101 OT,Dallas,106
2003-02-25,Orlando,98,Dallas,93
2003-02-27,Dallas,124 OT,Sacramento,126
2003-03-01,Dallas,114,Memphis,87
2003-03-04,Dallas,88,Brooklyn,79
2003-03-07,Miami,89,Dallas,91
2003-03-08,Dallas,101,Utah,77
2003-03-10,Dallas,83,Minnesota,92
2003-03-13,Oklahoma City,107,Dallas,100
2003-03-14,Golden State,114,Dallas,116
2003-03-16,Sacramento,123 OT,Dallas,129
2003-03-18,Dallas,114,Cleveland,93
2003-03-20,Dallas,110 OT,San Antonio,112
2003-03-22,Dallas,102,Phoenix,95
2003-03-24,Denver,96,Dallas,108
2003-03-26,LA,107,Dallas,114
2003-03-28,Portland,112,Dallas,95
2003-03-30,Minnesota,95,Dallas,119
2003-04-01,Dallas,95,New Orleans,86
2003-04-03,Dallas,89,Los Angeles,100
2003-04-05,Dallas,108,Orlando,90
2003-04-08,Los Angeles,108,Dallas,99
2003-04-09,Phoenix,112,Dallas,89
2003-04-11,Utah,95,Dallas,92
2003-04-12,Dallas,117,Golden State,108
2003-04-14,Dallas,109,Oklahoma City,106
2003-04-16,San Antonio,72,Dallas,93
