date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Minnesota,83,Denver,77
2003-11-01,Denver,74,Houston,83
2003-11-02,Portland,79,Denver,96
2003-11-05,Denver,87,Atlanta,103
2003-11-07,Denver,63,Detroit,89
2003-11-09,Denver,84,Memphis,73
2003-11-13,Denver,72,Phoenix,75
2003-11-15,Toronto,84,Denver,79
2003-11-16,Detroit,74,Denver,53
2003-11-18,Brooklyn,99,Denver,79
2003-11-20,Denver,79,Utah,96
2003-11-22,Denver,72,LA,70
2003-11-23,Phoenix,79,Denver,80
2003-11-26,Denver,85,San Antonio,81
2003-11-27,San Antonio,99,Denver,68
2003-11-29,Denver,82,Golden State,92
2003-12-03,Golden State,110,Denver,89
2003-12-04,Denver,90,Sacramento,92
2003-12-06,Sacramento,98,Denver,77
2003-12-07,Denver,92,Indiana,81
2003-12-09,Denver,84,Minnesota,92
2003-12-11,Memphis,96,Denver,93
2003-12-13,Indiana,94,Denver,72
2003-12-14,Cleveland,111,Denver,104
2003-12-16,Philadelphia,93,Denver,71
2003-12-18,Denver,75,Dallas,80
2003-12-20,Denver,80,Orlando,89
2003-12-21,LA,92,Denver,89
2003-12-28,Denver,93,Los Angeles,112
2003-12-30,Denver,77,Oklahoma City,79
2003-01-03,Oklahoma City,82,Denver,94
2003-01-04,Denver,76,Sacramento,87
2003-01-06,Dallas,86,Denver,71
2003-01-08,Denver,86,Miami,76
2003-01-10,Denver,82,Portland,81
2003-01-11,Houston,87,Denver,85
2003-01-13,Minnesota,89,Denver,75
2003-01-15,Denver,81,Utah,92
2003-01-17,Denver,97,Cleveland,80
2003-01-20,Washington,89,Denver,74
2003-01-22,NY Knicks,97,Denver,88
2003-01-24,Boston,77,Denver,58
2003-01-25,Milwaukee,88,Denver,75
2003-01-27,Denver,66,Brooklyn,92
2003-01-28,Portland,98,Denver,92
2003-02-01,Dallas,122,Denver,100
2003-02-02,Denver,93,Memphis,78
2003-02-04,Denver,102,Chicago,100 OT
2003-02-06,Denver,74,San Antonio,83
2003-02-11,Los Angeles,121,Denver,93
2003-02-12,Denver,102,Los Angeles,113
2003-02-15,Chicago,88,Denver,69
2003-02-16,New Orleans,100,Denver,92
2003-02-18,San Antonio,101,Denver,76
2003-02-19,Denver,77,Minnesota,85
2003-02-22,Utah,99,Denver,89
2003-02-24,Denver,89,Golden State,94
2003-02-26,Denver,84,Portland,94
2003-02-28,Denver,88,New Orleans,94
2003-03-02,Denver,94,Philadelphia,100
2003-03-04,Atlanta,92,Denver,86
2003-03-05,Memphis,96,Denver,86
2003-03-08,Miami,92,Denver,98
2003-03-09,Orlando,111,Denver,98
2003-03-11,Denver,95,Toronto,87
2003-03-16,Denver,84,Oklahoma City,92
2003-03-18,Utah,99,Denver,81
2003-03-19,LA,91,Denver,78
2003-03-21,Oklahoma City,101,Denver,99 OT
2003-03-22,Denver,90,Boston,80
2003-03-24,Denver,96,Dallas,108
2003-03-26,Denver,108,Milwaukee,103
2003-03-29,Houston,102,Denver,89
2003-03-30,Denver,88,Washington,72
2003-04-01,Phoenix,95,Denver,65
2003-04-02,Denver,75,NY Knicks,83
2003-04-06,Golden State,106,Denver,99
2003-04-08,Denver,78,Phoenix,98
2003-04-11,Sacramento,105,Denver,103
2003-04-12,Denver,79,LA,101
2003-04-15,Los Angeles,126,Denver,104
2003-04-16,Denver,84,Houston,89
