date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Golden,106,San Antonio,98
2003-11-01,Golden,93,Oklahoma City,106
2003-11-02,Utah,101,Golden,92
2003-11-04,Dallas,107,Golden,100
2003-11-05,San Antonio,93,Golden,73
2003-11-08,New Orleans,110,Golden,104
2003-11-09,Houston,111,Golden,104
2003-11-11,Memphis,101,Golden,108
2003-11-13,Golden,93,Sacramento,104
2003-11-15,Los Angeles,96,Golden,89 OT
2003-11-16,Golden,134,Orlando,92
2003-11-18,Golden,89,LA,99
2003-11-20,Golden,100,Chicago,94
2003-11-22,Golden,91,Milwaukee,95
2003-11-27,Golden,84,Houston,91
2003-11-29,Denver,82,Golden,92
2003-11-30,Golden,100,Phoenix,90
2003-12-03,Golden,110,Denver,89
2003-12-05,Golden,98,Minnesota,114
2003-12-07,Golden,116,Dallas,121
2003-12-10,Golden,106,Los Angeles,102
2003-12-13,Orlando,111,Golden,85
2003-12-14,Miami,101,Golden,92
2003-12-16,Memphis,104,Golden,91
2003-12-18,Golden,111,New Orleans,106
2003-12-20,Golden,111,Portland,113
2003-12-22,Sacramento,103,Golden,88
2003-12-27,Golden,101,Toronto,96
2003-12-28,LA,92,Golden,99
2003-12-30,Golden,104,Philadelphia,98
2003-01-03,San Antonio,98,Golden,95
2003-01-04,Houston,84,Golden,86
2003-01-06,Golden,99,Miami,85
2003-01-08,Minnesota,102,Golden,95
2003-01-10,Washington,99,Golden,104
2003-01-11,Indiana,116,Golden,104
2003-01-13,Golden,108,Memphis,110
2003-01-15,Golden,108,Cleveland,80
2003-01-17,Golden,107,Minnesota,98
2003-01-20,Golden,80,Sacramento,102
2003-01-22,Los Angeles,110,Golden,114
2003-01-23,Golden,105,Brooklyn,97
2003-01-25,Golden,108,Utah,95
2003-01-28,Oklahoma City,91,Golden,88
2003-01-31,Utah,102,Golden,94
2003-02-01,Phoenix,116,Golden,107
2003-02-03,Golden,101,Memphis,91
2003-02-05,Golden,99,San Antonio,103
2003-02-11,Atlanta,113,Golden,116
2003-02-12,NY Knicks,107,Golden,113
2003-02-14,Toronto,114 OT,Golden,118
2003-02-16,Minnesota,109,Golden,102
2003-02-18,Golden,117,Boston,125
2003-02-19,Portland,125,Golden,98
2003-02-21,Golden,111,NY Knicks,107
2003-02-23,Golden,115,Atlanta,93
2003-02-24,Denver,89,Golden,94
2003-02-26,LA,94,Golden,108
2003-03-01,Golden,92,Detroit,90
2003-03-04,Golden,107,Indiana,100
2003-03-06,Chicago,119,Golden,105
2003-03-08,Milwaukee,138,Golden,133 OT
2003-03-09,Detroit,107,Golden,105
2003-03-11,Golden,113,Phoenix,98
2003-03-14,Golden,114,Dallas,116
2003-03-15,Oklahoma City,88,Golden,94
2003-03-18,Sacramento,117,Golden,91
2003-03-19,Golden,105,Oklahoma City,99
2003-03-21,Golden,107,Houston,117
2003-03-23,Golden,113,Washington,107
2003-03-25,Cleveland,124,Golden,103
2003-03-26,Boston,95,Golden,107
2003-03-28,Philadelphia,98,Golden,102
2003-03-29,Brooklyn,109,Golden,97
2003-04-01,Portland,100,Golden,86
2003-04-04,Golden,100,Portland,122
2003-04-06,Golden,106,Denver,99
2003-04-08,Golden,128,Utah,102
2003-04-11,Phoenix,117,Golden,101
2003-04-12,Dallas,117,Golden,108
2003-04-14,Golden,113,LA,122
2003-04-16,Golden,111,Los Angeles,117
