date,home_team,home_team_score,visit_team,visit_team_score
2003-10-29,Orlando,95,Philadelphia,88
2003-10-30,Miami,86,Orlando,100
2003-11-01,Minnesota,111,Orlando,105
2003-11-02,Milwaukee,90,Orlando,100
2003-11-05,Orlando,125,Sacramento,121
2003-11-08,Orlando,105,Oklahoma City,98
2003-11-10,Orlando,117,LA,120
2003-11-12,Orlando,109,Toronto,115
2003-11-14,LA,80,Orlando,101
2003-11-16,Golden State,134,Orlando,92
2003-11-17,Sacramento,101,Orlando,99
2003-11-19,Oklahoma City,84,Orlando,101
2003-11-20,Portland,98,Orlando,84
2003-11-22,Indiana,106,Orlando,70
2003-11-24,Orlando,77,Miami,75
2003-11-27,Orlando,112,Los Angeles,102
2003-11-30,Orlando,117,Atlanta,92
2003-12-02,Orlando,97,Boston,102
2003-12-04,NY Knicks,85,Orlando,87
2003-12-06,Orlando,88,Washington,78
2003-12-07,Brooklyn,121,Orlando,88
2003-12-09,Boston,114,Orlando,109 OT
2003-12-10,Chicago,107,Orlando,87
2003-12-13,Orlando,111,Golden State,85
2003-12-15,Los Angeles,107,Orlando,84
2003-12-16,Phoenix,87,Orlando,84
2003-12-18,Utah,90,Orlando,97
2003-12-20,Denver,80,Orlando,89
2003-12-23,Orlando,103,Milwaukee,108
2003-12-25,Orlando,104,Detroit,99
2003-12-27,Memphis,99,Orlando,86
2003-12-28,Orlando,101,Boston,95
2003-12-30,Orlando,112,Washington,95
2003-01-03,New Orleans,100,Orlando,89
2003-01-04,Orlando,83,Brooklyn,88
2003-01-06,Orlando,103,NY Knicks,100
2003-01-08,Orlando,81,Houston,91
2003-01-10,Orlando,97 OT,Indiana,101
2003-01-12,Philadelphia,105,Orlando,107
2003-01-13,Orlando,86,Detroit,101
2003-01-16,Washington,108,Orlando,93
2003-01-19,Toronto,93,Orlando,101
2003-01-21,Cleveland,94,Orlando,103
2003-01-22,Orlando,94,Chicago,91
2003-01-24,Orlando,107,Phoenix,110
2003-01-26,Boston,91,Orlando,83
2003-01-29,Orlando,113,Cleveland,108
2003-01-31,Orlando,108,San Antonio,109
2003-02-02,Atlanta,97,Orlando,89
2003-02-04,Orlando,89,Portland,96
2003-02-11,Orlando,92,Brooklyn,83
2003-02-13,Detroit,98,Orlando,88
2003-02-14,Philadelphia,99,Orlando,98
2003-02-16,Toronto,99,Orlando,97
2003-02-18,Orlando,99,New Orleans,94
2003-02-21,Orlando,110,Chicago,96
2003-02-23,Brooklyn,105,Orlando,113
2003-02-25,Orlando,98,Dallas,93
2003-02-28,NY Knicks,118,Orlando,110 2OT
2003-03-02,Cleveland,76,Orlando,102
2003-03-03,Chicago,89,Orlando,104
2003-03-05,Orlando,111,Milwaukee,99
2003-03-07,Orlando,102,NY Knicks,111
2003-03-09,Orlando,111,Denver,98
2003-03-11,Washington,106,Orlando,105
2003-03-12,Orlando,108,Utah,111
2003-03-15,Orlando,96,New Orleans,86
2003-03-19,Orlando,109,Miami,93
2003-03-21,Orlando,109,Cleveland,85
2003-03-23,Miami,74,Orlando,96
2003-03-24,Orlando,104,Memphis,110
2003-03-26,New Orleans,95,Orlando,97
2003-03-27,Orlando,110,Minnesota,107
2003-03-31,Orlando,113 OT,Philadelphia,118
2003-04-01,San Antonio,118,Orlando,105
2003-04-05,Dallas,108,Orlando,90
2003-04-06,Houston,114,Orlando,93
2003-04-09,Orlando,88,Toronto,82
2003-04-11,Indiana,86,Orlando,98
2003-04-12,Orlando,89,Boston,86
2003-04-14,Atlanta,100,Orlando,84
2003-04-16,Milwaukee,93,Orlando,87
