date,home_team,home_team_score,visit_team,visit_team_score
2003-10-29,Orlando,95,Philadelphia,88
2003-10-30,Philadelphia,95,Milwaukee,93
2003-11-01,Philadelphia,98,NY Knicks,86
2003-11-06,Philadelphia,101,LA,99 OT
2003-11-08,Philadelphia,108,Cleveland,84
2003-11-09,Milwaukee,110,Philadelphia,105 OT
2003-11-13,Boston,91,Philadelphia,81
2003-11-14,Philadelphia,99,San Antonio,94
2003-11-16,NY Knicks,92,Philadelphia,93
2003-11-17,Philadelphia,100,Washington,84
2003-11-19,New Orleans,99,Philadelphia,98
2003-11-20,Memphis,88,Philadelphia,95
2003-11-22,Philadelphia,90,Toronto,80
2003-11-24,Toronto,84,Philadelphia,94
2003-11-25,Philadelphia,108,New Orleans,87
2003-11-27,Philadelphia,83,Miami,74
2003-11-29,Cleveland,99,Philadelphia,106
2003-11-30,Washington,94,Philadelphia,95
2003-12-04,Philadelphia,99,Boston,93
2003-12-06,San Antonio,98,Philadelphia,93
2003-12-07,Houston,97,Philadelphia,72
2003-12-11,Philadelphia,88,Oklahoma City,92
2003-12-13,Philadelphia,91,Phoenix,99
2003-12-15,Indiana,107,Philadelphia,97
2003-12-16,Philadelphia,93,Denver,71
2003-12-18,Philadelphia,99,Minnesota,94
2003-12-20,Philadelphia,107,Los Angeles,104 OT
2003-12-21,Atlanta,79,Philadelphia,77
2003-12-28,Utah,98,Philadelphia,69
2003-12-30,Golden State,104,Philadelphia,98
2003-12-31,LA,75,Philadelphia,83
2003-01-02,Phoenix,96,Philadelphia,78
2003-01-04,Dallas,102,Philadelphia,83
2003-01-06,Philadelphia,104 OT,Indiana,105
2003-01-08,Philadelphia,94 OT,Detroit,103
2003-01-10,Philadelphia,112,NY Knicks,114
2003-01-12,Philadelphia,105,Orlando,107
2003-01-15,Philadelphia,108,Brooklyn,107
2003-01-17,Philadelphia,95,Milwaukee,99
2003-01-18,Washington,80,Philadelphia,88
2003-01-20,Philadelphia,99,Boston,100
2003-01-22,Detroit,83,Philadelphia,92
2003-01-23,Philadelphia,94,Dallas,107
2003-01-25,Miami,91,Philadelphia,97
2003-01-28,Milwaukee,81,Philadelphia,108
2003-01-29,Philadelphia,83,Atlanta,97
2003-01-31,Philadelphia,104,Miami,99
2003-02-02,Minnesota,99,Philadelphia,91
2003-02-05,Philadelphia,85,Brooklyn,111
2003-02-12,Philadelphia,119,Chicago,111 OT
2003-02-14,Philadelphia,99,Orlando,98
2003-02-16,Brooklyn,83,Philadelphia,90
2003-02-19,Chicago,82,Philadelphia,110
2003-02-21,Cleveland,99,Philadelphia,119
2003-02-23,Philadelphia,116,Cleveland,103
2003-02-26,Philadelphia,111,Memphis,107
2003-02-28,Philadelphia,104,Utah,83
2003-03-02,Denver,94,Philadelphia,100
2003-03-03,Sacramento,107,Philadelphia,99
2003-03-06,Portland,60,Philadelphia,88
2003-03-07,Oklahoma City,99,Philadelphia,108
2003-03-09,Los Angeles,106,Philadelphia,92
2003-03-12,Philadelphia,96,Indiana,93
2003-03-14,Philadelphia,90,Portland,79
2003-03-16,Brooklyn,87,Philadelphia,92
2003-03-18,Miami,83,Philadelphia,103
2003-03-20,Detroit,113,Philadelphia,85
2003-03-21,Philadelphia,105,Atlanta,114
2003-03-23,Toronto,95,Philadelphia,112
2003-03-26,Indiana,85,Philadelphia,91
2003-03-28,Philadelphia,98,Golden State,102
2003-03-29,Atlanta,89,Philadelphia,110
2003-03-31,Orlando,113 OT,Philadelphia,118
2003-04-02,Philadelphia,108,Chicago,101
2003-04-04,Philadelphia,79,Houston,88
2003-04-06,Philadelphia,81,Sacramento,97
2003-04-08,Philadelphia,91,Detroit,74
2003-04-10,Boston,78,Philadelphia,99
2003-04-11,NY Knicks,108,Philadelphia,103
2003-04-13,Philadelphia,89,New Orleans,94
2003-04-15,Chicago,115,Philadelphia,106
2003-04-16,Philadelphia,107,Washington,87
