date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Boston,96,Chicago,99
2003-10-31,Washington,114,Boston,69
2003-11-02,NY Knicks,107,Boston,117
2003-11-06,Chicago,69,Boston,91
2003-11-07,Boston,98,Los Angeles,95 OT
2003-11-09,Minnesota,99,Boston,105
2003-11-11,Boston,112,Utah,95
2003-11-13,Boston,91,Philadelphia,81
2003-11-15,Boston,86,Dallas,97
2003-11-16,Milwaukee,102,Boston,85
2003-11-20,Boston,96,Brooklyn,79
2003-11-22,Boston,105,Atlanta,98 2OT
2003-11-23,Atlanta,99,Boston,109
2003-11-27,Boston,92,Chicago,82
2003-11-29,Boston,95,Toronto,98
2003-12-01,Boston,95,New Orleans,86
2003-12-02,Orlando,97,Boston,102
2003-12-04,Philadelphia,99,Boston,93
2003-12-06,Boston,91,NY Knicks,80
2003-12-09,Boston,114,Orlando,109 OT
2003-12-11,Boston,94,Phoenix,103
2003-12-13,Boston,115,Cleveland,100
2003-12-14,NY Knicks,90,Boston,113
2003-12-16,Chicago,94,Boston,83
2003-12-18,Boston,81,Miami,91
2003-12-20,Boston,108,Minnesota,99
2003-12-21,Cleveland,82,Boston,89
2003-12-25,Brooklyn,117,Boston,81
2003-12-27,Miami,90,Boston,70
2003-12-28,Orlando,101,Boston,95
2003-12-31,Boston,96,Memphis,89
2003-01-03,Boston,103,Portland,108
2003-01-06,Boston,95,Washington,100
2003-01-08,New Orleans,83,Boston,93
2003-01-10,Dallas,103,Boston,78
2003-01-12,San Antonio,81,Boston,80
2003-01-13,Houston,101,Boston,92
2003-01-15,Boston,86,Atlanta,66
2003-01-17,Boston,98,Indiana,93
2003-01-18,Milwaukee,95,Boston,97
2003-01-20,Philadelphia,99,Boston,100
2003-01-22,Boston,97,Milwaukee,106
2003-01-24,Boston,77,Denver,58
2003-01-26,Boston,91,Orlando,83
2003-01-28,Detroit,86,Boston,83
2003-01-31,Boston,66,Detroit,118
2003-02-01,Indiana,109,Boston,100
2003-02-03,New Orleans,103,Boston,96
2003-02-05,Boston,114,Oklahoma City,74
2003-02-11,Oklahoma City,76,Boston,82
2003-02-13,Portland,92,Boston,100
2003-02-15,LA,84,Boston,92
2003-02-16,Phoenix,102,Boston,92
2003-02-18,Golden State,117,Boston,125
2003-02-20,Sacramento,105,Boston,83
2003-02-24,Boston,95 OT,Houston,101
2003-02-26,Boston,71,Indiana,69
2003-02-28,Boston,90,Toronto,85
2003-03-02,Toronto,104,Boston,92
2003-03-03,Memphis,110,Boston,111
2003-03-05,Boston,97,NY Knicks,95
2003-03-07,Boston,83,LA,72
2003-03-09,Boston,78,San Antonio,94
2003-03-12,Boston,93,New Orleans,65
2003-03-13,Brooklyn,90,Boston,75
2003-03-15,Detroit,71,Boston,81
2003-03-18,Boston,74,Brooklyn,87
2003-03-19,Indiana,102,Boston,72
2003-03-21,Los Angeles,104,Boston,96
2003-03-22,Denver,90,Boston,80
2003-03-24,Utah,96,Boston,91
2003-03-26,Boston,95,Golden State,107
2003-03-28,Boston,104,Cleveland,95
2003-03-29,Cleveland,106,Boston,110
2003-04-02,Boston,90,Miami,62
2003-04-04,Boston,92,Sacramento,93
2003-04-06,Boston,98 OT,Washington,99
2003-04-09,Washington,83,Boston,87
2003-04-10,Boston,78,Philadelphia,99
2003-04-12,Orlando,89,Boston,86
2003-04-13,Miami,86,Boston,94
2003-04-16,Boston,99,Detroit,92
2004-10-29,Boston,98,Miami,75
2004-10-31,Memphis,91,Boston,93
2004-11-01,New Orleans,97,Boston,90
2004-11-05,Detroit,96,Boston,88
2004-11-07,Boston,87,Brooklyn,94
2004-11-09,Boston,91,Sacramento,82
2004-11-11,Indiana,76,Boston,78
2004-11-12,Boston,82,Chicago,89
2004-11-14,Boston,91,Cleveland,82
2004-11-17,NY Knicks,89,Boston,86
2004-11-19,Boston,73,New Orleans,81
2004-11-21,Philadelphia,87,Boston,85
2004-11-24,Boston,88,NY Knicks,94
2004-11-26,Orlando,92,Boston,94
2004-11-28,Boston,106,Milwaukee,96
2004-11-29,Milwaukee,100,Boston,94
2004-12-01,Boston,89,Memphis,96
2004-12-03,Toronto,105,Boston,95
2004-12-05,Boston,106,Phoenix,110
2004-12-07,Denver,111,Boston,116
2004-12-08,Utah,80,Boston,102
2004-12-10,Boston,126,Oklahoma City,112
2004-12-12,Boston,114,Toronto,111
2004-12-13,Cleveland,98,Boston,105
2004-12-15,Boston,95,Minnesota,116
2004-12-17,Boston,105,Dallas,103
2004-12-19,Boston,96,Utah,99
2004-12-21,Boston,87,Philadelphia,84
2004-12-23,Atlanta,93,Boston,88
2004-12-26,Phoenix,102,Boston,104
2004-12-28,Los Angeles,105,Boston,82
2004-12-29,Golden State,91,Boston,100
2004-12-31,Boston,94,New Orleans,96
2004-01-02,Boston,90,Indiana,103
2004-01-03,Chicago,77,Boston,88
2004-01-05,Boston,68,Detroit,78
2004-01-07,Boston,101,Orlando,93
2004-01-09,Boston,107,Cleveland,82
2004-01-11,Houston,93,Boston,97
2004-01-13,Milwaukee,111,Boston,103
2004-01-14,Boston,80,Houston,95
2004-01-16,Orlando,124,Boston,118 OT
2004-01-18,Boston,92,San Antonio,109
2004-01-20,Miami,84,Boston,86
2004-01-23,Boston,100,Washington,89
2004-01-25,Brooklyn,110,Boston,91
2004-01-28,Boston,103,Detroit,106
2004-01-30,Boston,74,NY Knicks,92
2004-01-31,Indiana,99,Boston,98
2004-02-04,Boston,86,LA,95
2004-02-06,Boston,96,Atlanta,100
2004-02-07,Philadelphia,80,Boston,110
2004-02-09,Cleveland,97,Boston,89
2004-02-12,Chicago,107,Boston,87
2004-02-17,Sacramento,127,Boston,111
2004-02-19,LA,102,Boston,100
2004-02-21,Portland,105,Boston,84
2004-02-22,Oklahoma City,108,Boston,87
2004-02-25,Boston,104,Milwaukee,106
2004-02-27,Boston,88,Toronto,75
2004-02-29,Toronto,82,Boston,91
2004-03-01,Boston,117,Orlando,96
2004-03-05,Boston,94,Washington,90
2004-03-07,Minnesota,77,Boston,80
2004-03-09,NY Knicks,84,Boston,87
2004-03-10,Boston,109,Los Angeles,117
2004-03-12,Boston,81,Indiana,99
2004-03-13,Washington,102,Boston,111
2004-03-17,Boston,104,Denver,100
2004-03-19,Dallas,120,Boston,104
2004-03-20,San Antonio,103,Boston,87
2004-03-26,Boston,102,Brooklyn,93
2004-03-28,Boston,89,Philadelphia,65
2004-03-29,Brooklyn,80,Boston,84
2004-03-31,Boston,98,Portland,105
2004-04-02,Boston,111,Golden State,106
2004-04-04,Washington,112,Boston,102
2004-04-07,Miami,104,Boston,101
2004-04-09,New Orleans,89,Boston,80
2004-04-10,Atlanta,110,Boston,99
2004-04-12,Boston,77,Miami,84
2004-04-14,Boston,137,Atlanta,132
