date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Brooklyn,105,Atlanta,94
2003-10-31,Atlanta,105,Utah,98
2003-11-02,Atlanta,98,Chicago,92
2003-11-05,Denver,87,Atlanta,103
2003-11-06,Phoenix,93,Atlanta,88
2003-11-08,Utah,110,Atlanta,97
2003-11-10,Sacramento,105,Atlanta,97
2003-11-12,Los Angeles,83,Atlanta,95
2003-11-16,Atlanta,89,New Orleans,82
2003-11-18,Atlanta,117,Toronto,92
2003-11-20,Atlanta,93,Minnesota,103
2003-11-22,Boston,105,Atlanta,98 2OT
2003-11-23,Atlanta,99,Boston,109
2003-11-26,Atlanta,119,Oklahoma City,116 OT
2003-11-27,New Orleans,106,Atlanta,94
2003-11-29,Atlanta,100,Miami,94 OT
2003-11-30,Orlando,117,Atlanta,92
2003-12-03,Brooklyn,87,Atlanta,72
2003-12-05,Atlanta,98,Milwaukee,80
2003-12-07,Atlanta,94,Detroit,92
2003-12-11,Detroit,91,Atlanta,80
2003-12-12,Minnesota,113,Atlanta,95
2003-12-14,Atlanta,88,Phoenix,102
2003-12-17,Atlanta,99,Washington,109
2003-12-20,Houston,101,Atlanta,82
2003-12-21,Atlanta,79,Philadelphia,77
2003-12-23,Indiana,112,Atlanta,97
2003-12-27,Atlanta,81,San Antonio,79
2003-12-28,Washington,84,Atlanta,76
2003-12-30,Miami,93,Atlanta,84
2003-01-01,Atlanta,73,Miami,107
2003-01-04,Atlanta,86,Detroit,90
2003-01-06,Atlanta,94,Brooklyn,101
2003-01-08,Atlanta,99,Dallas,117
2003-01-10,Atlanta,84,Houston,75
2003-01-11,Atlanta,87,New Orleans,80
2003-01-14,Milwaukee,97,Atlanta,88
2003-01-15,Boston,86,Atlanta,66
2003-01-17,San Antonio,106,Atlanta,93
2003-01-18,Atlanta,92,NY Knicks,95
2003-01-20,Atlanta,102,Chicago,115
2003-01-22,Atlanta,110 2OT,Portland,112
2003-01-24,Atlanta,115,Sacramento,104
2003-01-25,Cleveland,101 OT,Atlanta,102
2003-01-28,NY Knicks,103,Atlanta,98
2003-01-29,Philadelphia,83,Atlanta,97
2003-01-31,Atlanta,96,Cleveland,91
2003-02-02,Atlanta,97,Orlando,89
2003-02-03,Miami,99,Atlanta,79
2003-02-11,Atlanta,113,Golden State,116
2003-02-12,Toronto,97,Atlanta,96
2003-02-14,Indiana,98,Atlanta,97 OT
2003-02-16,Atlanta,99,Indiana,86
2003-02-18,Dallas,105,Atlanta,79
2003-02-22,LA,87,Atlanta,89
2003-02-23,Golden State,115,Atlanta,93
2003-02-25,Portland,89,Atlanta,86
2003-02-26,Oklahoma City,93,Atlanta,76
2003-02-28,Chicago,88,Atlanta,110
2003-03-02,Milwaukee,120,Atlanta,93
2003-03-04,Atlanta,92,Denver,86
2003-03-05,Cleveland,105,Atlanta,111
2003-03-08,Atlanta,98,Toronto,107
2003-03-10,Atlanta,95,LA,86
2003-03-12,Atlanta,111,Milwaukee,92
2003-03-14,Atlanta,107,NY Knicks,104
2003-03-16,Memphis,124,Atlanta,92
2003-03-18,Chicago,103,Atlanta,78
2003-03-19,Toronto,87,Atlanta,86
2003-03-21,Philadelphia,105,Atlanta,114
2003-03-22,Atlanta,92,Indiana,89
2003-03-25,Atlanta,91,Los Angeles,108
2003-03-26,Detroit,102,Atlanta,99 OT
2003-03-29,Atlanta,89,Philadelphia,110
2003-04-03,Atlanta,91,Washington,89
2003-04-05,Atlanta,97,Memphis,91
2003-04-08,NY Knicks,99,Atlanta,95
2003-04-09,Atlanta,97,Brooklyn,92
2003-04-11,Atlanta,109,Cleveland,89
2003-04-12,Washington,100,Atlanta,101
2003-04-14,Atlanta,100,Orlando,84
2003-04-16,New Orleans,92,Atlanta,77
2004-10-29,New Orleans,88,Atlanta,83 OT
2004-10-31,Chicago,100,Atlanta,94
2004-11-01,Atlanta,99 OT,Indiana,103
2004-11-03,Atlanta,90,New Orleans,80
2004-11-05,Golden State,99,Atlanta,72
2004-11-08,Portland,90,Atlanta,83
2004-11-09,Oklahoma City,81,Atlanta,91
2004-11-11,LA,115,Atlanta,103
2004-11-12,Phoenix,94,Atlanta,99
2004-11-15,Atlanta,85,Brooklyn,100
2004-11-17,Atlanta,97,Washington,106
2004-11-18,Milwaukee,93,Atlanta,101
2004-11-21,San Antonio,114,Atlanta,75
2004-11-22,Atlanta,92,Cleveland,83
2004-11-24,Atlanta,89,Detroit,94
2004-11-26,Atlanta,97 OT,Toronto,99
2004-11-28,Atlanta,95,Miami,83
2004-11-29,Philadelphia,98,Atlanta,86
2004-12-02,Atlanta,94,Milwaukee,106
2004-12-05,Toronto,92,Atlanta,87
2004-12-06,Cleveland,95,Atlanta,85
2004-12-09,Atlanta,112,Denver,98
2004-12-10,Memphis,103,Atlanta,90
2004-12-12,Indiana,103,Atlanta,92
2004-12-13,Atlanta,102,Orlando,105
2004-12-16,Miami,97,Atlanta,79
2004-12-17,Atlanta,85,Golden State,98
2004-12-19,Atlanta,86,Sacramento,98
2004-12-20,NY Knicks,103,Atlanta,92
2004-12-23,Atlanta,93,Boston,88
2004-12-26,New Orleans,109,Atlanta,79
2004-12-27,Atlanta,84,Detroit,87
2004-12-30,Washington,73,Atlanta,83
2004-01-02,Minnesota,93,Atlanta,75
2004-01-03,Denver,76,Atlanta,84
2004-01-06,Sacramento,105,Atlanta,89
2004-01-09,Los Angeles,113,Atlanta,67
2004-01-10,Utah,92,Atlanta,71
2004-01-13,Atlanta,86,San Antonio,77
2004-01-14,Indiana,85,Atlanta,78
2004-01-17,Atlanta,75,Toronto,70
2004-01-19,Atlanta,97,Indiana,100
2004-01-21,Atlanta,97,Chicago,87
2004-01-23,Atlanta,94,NY Knicks,96
2004-01-25,Detroit,82,Atlanta,91
2004-01-27,Atlanta,85,Phoenix,89
2004-01-29,Atlanta,85,Portland,93
2004-01-31,Atlanta,93,Milwaukee,83
2004-02-02,Atlanta,95,LA,101
2004-02-04,Atlanta,97,Minnesota,89
2004-02-06,Boston,96,Atlanta,100
2004-02-07,Atlanta,77,Houston,86
2004-02-09,Atlanta,102,Dallas,96
2004-02-18,Brooklyn,98,Atlanta,92
2004-02-20,Miami,125,Atlanta,92
2004-02-22,Houston,123,Atlanta,121 3OT
2004-02-24,Atlanta,86,Philadelphia,75
2004-02-27,Detroit,105,Atlanta,83
2004-02-28,Atlanta,99,Orlando,104
2004-03-02,Atlanta,94,Los Angeles,93
2004-03-03,Cleveland,112,Atlanta,80
2004-03-05,Orlando,101,Atlanta,96
2004-03-08,Atlanta,102,Cleveland,108
2004-03-10,Milwaukee,94,Atlanta,80
2004-03-12,Atlanta,138,Washington,124
2004-03-14,Toronto,101,Atlanta,84
2004-03-16,Atlanta,110,Oklahoma City,118
2004-03-17,Dallas,110,Atlanta,111
2004-03-19,Washington,94,Atlanta,84
2004-03-20,Atlanta,81,Utah,87
2004-03-22,NY Knicks,96,Atlanta,84
2004-03-25,Atlanta,84,New Orleans,76
2004-03-27,Atlanta,97,Chicago,88
2004-03-29,Atlanta,133 2OT,Memphis,136
2004-03-31,Atlanta,97,Miami,100
2004-04-02,Orlando,87,Atlanta,95
2004-04-04,Brooklyn,106,Atlanta,89
2004-04-06,Atlanta,100 OT,Philadelphia,103
2004-04-09,Chicago,101,Atlanta,116
2004-04-10,Atlanta,110,Boston,99
2004-04-12,Atlanta,129,Brooklyn,107
2004-04-14,Boston,137,Atlanta,132
2005-11-03,Phoenix,112,Atlanta,82
2005-11-05,Oklahoma City,106,Atlanta,85
2005-11-07,Los Angeles,106,Atlanta,90
2005-11-09,Atlanta,79,Cleveland,93
2005-11-12,New Orleans,95,Atlanta,96
2005-11-13,Atlanta,88,San Antonio,103
2005-11-16,Atlanta,88,Houston,84
2005-11-17,Indiana,93,Atlanta,86
2005-11-20,Atlanta,79,Utah,92
2005-11-23,NY Knicks,104,Atlanta,88
2005-11-24,Atlanta,93,Miami,99
2005-11-26,Atlanta,99,Orlando,117
2005-11-27,Charlotte,107,Atlanta,92
2005-11-30,Atlanta,109 OT,NY Knicks,110
2005-12-03,Atlanta,90,Washington,114
2005-12-04,Brooklyn,109,Atlanta,88
2005-12-06,Atlanta,96,Philadelphia,92
2005-12-08,Atlanta,89,Memphis,97
2005-12-10,Detroit,72,Atlanta,88
2005-12-11,Atlanta,90,Brooklyn,95
2005-12-14,Atlanta,97 OT,Indiana,108
2005-12-15,Houston,92,Atlanta,69
2005-12-17,Atlanta,84,Portland,100
2005-12-18,Dallas,90,Atlanta,68
2005-12-22,Atlanta,113,Dallas,100
2005-12-27,Miami,116,Atlanta,102
2005-12-28,Atlanta,102,Cleveland,111
2005-12-30,Atlanta,79,Oklahoma City,94
2005-01-02,Washington,104,Atlanta,101
2005-01-05,Cleveland,101,Atlanta,85
2005-01-07,Atlanta,97,Sacramento,100
2005-01-11,Atlanta,103,Milwaukee,80
2005-01-14,Boston,106,Atlanta,94
2005-01-15,Atlanta,103,Charlotte,95
2005-01-17,Atlanta,84,Brooklyn,85
2005-01-19,Miami,111,Atlanta,92
2005-01-21,Chicago,95,Atlanta,85
2005-01-22,Atlanta,100,Boston,96
2005-01-24,Atlanta,82,Chicago,107
2005-01-26,Minnesota,104,Atlanta,87
2005-01-28,Atlanta,96,Miami,106
2005-01-29,Memphis,84,Atlanta,83
2005-01-31,Atlanta,80,Orlando,79
2005-02-02,Detroit,99,Atlanta,84
2005-02-04,Philadelphia,103,Atlanta,85
2005-02-05,Atlanta,79,Indiana,84
2005-02-07,Atlanta,114,Los Angeles,108
2005-02-10,Orlando,101,Atlanta,96
2005-02-12,Milwaukee,113,Atlanta,83
2005-02-15,Atlanta,96,Denver,100
2005-02-16,Cleveland,111,Atlanta,89
2005-02-22,Sacramento,114,Atlanta,104
2005-02-23,Golden State,101,Atlanta,96
2005-02-25,Portland,102,Atlanta,101
2005-02-27,LA,111,Atlanta,104
2005-03-01,Denver,97,Atlanta,74
2005-03-02,Utah,96,Atlanta,74
2005-03-05,Atlanta,97,Philadelphia,98
2005-03-08,Milwaukee,105,Atlanta,101
2005-03-09,Boston,95,Atlanta,91
2005-03-11,Toronto,112 OT,Atlanta,116
2005-03-12,Atlanta,92,Golden State,105
