date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Detroit,86,NY Knicks,77
2003-11-01,Detroit,109,Memphis,86
2003-11-03,LA,74,Detroit,72
2003-11-04,Phoenix,82,Detroit,84
2003-11-06,Utah,78,Detroit,80
2003-11-07,Denver,63,Detroit,89
2003-11-09,Dallas,114,Detroit,75
2003-11-12,Detroit,93,New Orleans,87
2003-11-15,Detroit,86,Utah,75
2003-11-16,Detroit,74,Denver,53
2003-11-18,NY Knicks,94,Detroit,91
2003-11-20,Detroit,79,Miami,68
2003-11-22,Miami,72,Detroit,75
2003-11-23,Indiana,91,Detroit,106
2003-11-27,Detroit,82,Dallas,102
2003-11-29,Detroit,96,Milwaukee,91
2003-11-30,Milwaukee,109,Detroit,86
2003-12-04,Detroit,83,Washington,88
2003-12-07,Atlanta,94,Detroit,92
2003-12-11,Detroit,91,Atlanta,80
2003-12-12,Chicago,76,Detroit,86
2003-12-14,Detroit,91,Oklahoma City,78
2003-12-15,Detroit,101,Brooklyn,91
2003-12-18,Cleveland,106 OT,Detroit,111
2003-12-20,Detroit,109,Cleveland,107 OT
2003-12-21,Brooklyn,100,Detroit,92
2003-12-25,Orlando,104,Detroit,99
2003-12-26,Washington,82,Detroit,87
2003-12-28,Detroit,106,Minnesota,82
2003-12-30,Detroit,74,Portland,85
2003-01-04,Atlanta,86,Detroit,90
2003-01-06,Detroit,82,Toronto,74
2003-01-08,Philadelphia,94 OT,Detroit,103
2003-01-10,New Orleans,99 OT,Detroit,101
2003-01-11,Detroit,87,Milwaukee,89
2003-01-13,Orlando,86,Detroit,101
2003-01-14,Miami,88,Detroit,85
2003-01-17,Detroit,99,NY Knicks,82
2003-01-18,Indiana,88,Detroit,86
2003-01-20,Detroit,88,Indiana,78
2003-01-22,Detroit,83,Philadelphia,92
2003-01-24,Houston,74,Detroit,98
2003-01-25,San Antonio,108,Detroit,76
2003-01-28,Detroit,86,Boston,83
2003-01-31,Boston,66,Detroit,118
2003-02-01,Detroit,106,Brooklyn,84
2003-02-05,Detroit,89,LA,80
2003-02-11,Chicago,79,Detroit,89
2003-02-13,Detroit,98,Orlando,88
2003-02-14,Milwaukee,96,Detroit,86
2003-02-16,Cleveland,75,Detroit,90
2003-02-17,Detroit,93,Miami,62
2003-02-19,Toronto,84,Detroit,89
2003-02-21,Minnesota,103,Detroit,96
