player_age,player_college,player_height,player_name,player_number,player_pos,player_salary,player_weight
30,Washington State,6-10,Aron Baynes,12,C,"$6,500,000",260
26,North Carolina,6-7,Reggie Bullock,25,SF,"$2,255,644",205
24,Georgia,6-5,Kentavious Caldwell-Pope,5,SG,"$3,678,319",205
23,Connecticut,6-11,Andre Drummond,0,C,"$22,116,750",279
20,Marquette,6-11,Henry Ellenson,8,PF,"$1,704,120",245
24,Syracuse,6-7,Michael Gbinije,9,SG,"$650,000",200
24,Tennessee,6-9,Tobias Harris,34,SF,"$17,200,000",235
23,Villanova,6-6,Darrun Hilliard,6,SG,"$874,636",205
26,Boston College,6-3,Reggie Jackson,1,PG,"$14,956,522",208
20,Arizona,6-7,Stanley Johnson,7,SF,"$2,969,880",245
27,Wisconsin,6-10,Jon Leuer,30,PF,"$10,991,957",228
28, ,7-3,Boban Marjanovic,51,C,"$7,000,000",290
27,Kansas,6-9,Marcus Morris,13,PF,"$4,625,000",235
28,Wake Forest,6-0,Ish Smith,14,PG,"$6,000,000",175
34, ,6-3,Beno Udrih,19,PG,"$980,431",205
