player_age,player_college,player_height,player_name,player_number,player_pos,player_salary,player_weight
28,California,6-10,Ryan Anderson,3,PF,"$18,735,364",240
31,UCLA,6-8,Trevor Ariza,1,SF,"$7,806,971",215
28,Arkansas,6-1,Patrick Beverley,2,PG,"$6,000,000",185
32,Cal State Fullerton,6-2,Bobby Brown,8,PG,"$680,534",175
22, ,6-10,Clint Capela,15,C,"$1,296,240",240
22,Wisconsin,6-9,Sam Dekker,7,SF,"$1,720,560",230
28,Indiana,6-4,Eric Gordon,10,SG,"$12,385,364",215
27,Arizona State,6-5,James Harden,13,SG,"$26,540,100",220
23,Louisville,6-8,Montrezl Harrell,5,PF,"$1,045,000",240
34, ,6-11,Nene Hilario,42,C,"$2,898,000",250
20,Louisville,6-10,Chinanu Onuaku,21,PF,"$543,471",245
22,Texas,6-3,Isaiah Taylor,17,PG,"$255,000",170
30, ,6-1,Lou Williams,12,SG,"$7,000,000",175
22,Indiana,6-7,Troy Williams,14,SF,"$76,725",210
24,Gonzaga,6-10,Kyle Wiltjer,30,F,"$543,471",240
