player_age,player_college,player_height,player_name,player_number,player_pos,player_salary,player_weight
28,Kansas,6-11,Cole Aldrich,45,C,"$7,643,979",250
28, ,6-10,Nemanja Bjelica,88,PF,"$3,800,000",225
28, ,6-9,Omri Casspi,--,SF,"$138,414",225
27,Louisville,6-11,Gorgui Dieng,5,PF,"$2,348,783",240
23,Providence,6-4,Kris Dunn,3,PG,"$3,872,520",205
29,Arizona,6-10,Jordan Hill,27,PF,"$4,000,000",240
20,Duke,6-2,Tyus Jones,1,PG,"$1,339,680",195
22,UCLA,6-5,Zach LaVine,8,PG,"$2,240,880",185
24,UCLA,6-6,Shabazz Muhammad,15,SF,"$3,046,299",223
26,Michigan State,6-10,Adreian Payne,33,PF,"$2,022,240",237
31, ,6-11,Nikola Pekovic,14,C,"$12,100,000",307
26, ,6-4,Ricky Rubio,9,PG,"$13,550,000",190
31,Kansas,6-6,Brandon Rush,4,SG,"$3,500,000",225
21,Kentucky,7-0,Karl-Anthony Towns,32,C,"$5,960,160",244
22,Kansas,6-8,Andrew Wiggins,22,SF,"$6,006,600",199
