player_age,player_college,player_height,player_name,player_number,player_pos,player_salary,player_weight
23,Virginia,6-6,Justin Anderson,23,SG,"$1,514,160",228
28,Arizona,6-3,Jerryd Bayless,0,PG,"$9,424,084",200
26,Tennessee State,6-9,Robert Covington,33,SF,"$1,015,696",215
23,Kansas,7-0,Joel Embiid,21,C,"$4,826,160",250
29,Duke,6-5,Gerald Henderson,12,SG,"$9,000,000",215
23,Bowling Green,6-10,Richaun Holmes,22,PF,"$1,025,831",245
24,Louisiana-Lafayette,6-9,Shawn Long,36,PF,"$89,513",255
21, ,6-6,Timothe Luwawu-Cabarrot,20,SG,"$1,326,960",205
24,Arizona,6-2,T.J. McConnell,1,PG,"$874,636",200
21,Duke,6-11,Jahlil Okafor,8,C,"$4,788,840",275
30, ,6-3,Sergio Rodriguez,14,PG,"$8,000,000",176
22, ,6-10,Dario Saric,9,PF,"$2,318,280",223
20,LSU,6-10,Ben Simmons,25,SF,"$5,903,160",240
32, ,6-11,Tiago Splitter,47,C,"$8,550,000",245
23,Michigan,6-6,Nik Stauskas,11,SG,"$2,993,040",205
