date,home_team,home_team_score,visit_team,visit_team_score
2016-10-27,Atlanta,94,Detroit,106
2016-10-29,NY Knicks,101,Atlanta,112
2016-10-30,Atlanta,97,Charlotte,94
2016-11-01,Charlotte,92,Atlanta,94
2016-11-03,Miami,92,Atlanta,98
2016-11-04,Atlanta,101,Brooklyn,87
2016-11-06,New Orleans,115,Atlanta,121
2016-11-07,Atlanta,114,Washington,99
2016-11-09,Atlanta,107,Minnesota,117
2016-11-11,Atlanta,106,New Orleans,98
2016-11-13,Boston,106,Atlanta,93
2016-11-15,Atlanta,96,Utah,97
2016-11-17,Brooklyn,90,Atlanta,88
2016-11-18,Atlanta,103,Sacramento,97
2016-11-21,Cleveland,109,Atlanta,97
2016-11-24,Atlanta,121,Boston,97
2016-11-25,Minnesota,99,Atlanta,95
2016-11-27,Memphis,101,Atlanta,116
2016-11-28,San Antonio,108,Atlanta,88
2016-11-30,Atlanta,106,Oklahoma City,100
2016-12-02,Atlanta,86,Toronto,96
2016-12-04,Atlanta,100,Los Angeles,87
2016-12-09,Dallas,95,Atlanta,98
2016-12-10,Oklahoma City,107,Atlanta,94
2016-12-12,Atlanta,78,San Antonio,103
2016-12-14,Atlanta,88,Miami,100
2016-12-16,Atlanta,127,Philadelphia,106
2016-12-18,Boston,101,Atlanta,109
2016-12-20,Orlando,100,Atlanta,103
2016-12-21,Atlanta,106,Portland,97
2016-12-23,Atlanta,107,Detroit,100
2016-12-26,Atlanta,117,NY Knicks,98
2016-12-28,Indiana,93,Atlanta,87
2016-12-29,Houston,115,Atlanta,121
2016-01-03,NY Knicks,111,Atlanta,97
2016-01-05,Atlanta,101,NY Knicks,107
2016-01-07,Philadelphia,98,Atlanta,126
2016-01-09,Atlanta,120,Chicago,105
2016-01-13,Charlotte,107,Atlanta,84
2016-01-15,Milwaukee,108,Atlanta,101 OT
2016-01-16,Atlanta,114,Brooklyn,86
2016-01-18,Atlanta,98,Orlando,81
2016-01-20,Portland,98,Atlanta,104
2016-01-21,Sacramento,91,Atlanta,88
2016-01-23,Phoenix,98,Atlanta,95
2016-01-25,Denver,105,Atlanta,119
2016-01-27,Atlanta,83,LA,85
2016-01-28,Indiana,111,Atlanta,92
2016-01-31,Miami,105,Atlanta,87
2016-02-01,Atlanta,112,Dallas,97
2016-02-03,Philadelphia,86,Atlanta,124
2016-02-05,Atlanta,102,Indiana,96
2016-02-07,Orlando,96,Atlanta,94
2016-02-08,Atlanta,110 OT,Orlando,117
2016-02-10,Chicago,90,Atlanta,113
2016-02-19,Atlanta,111,Miami,115
2016-02-20,Atlanta,109 2OT,Milwaukee,117
2016-02-22,Atlanta,92,Golden State,102
2016-02-26,Atlanta,103,Chicago,88
2016-02-28,Atlanta,87,Charlotte,76
2016-03-01,Golden State,109,Atlanta,105 OT
2016-03-04,Los Angeles,77,Atlanta,106
2016-03-05,LA,97,Atlanta,107
2016-03-08,Utah,84,Atlanta,91
2016-03-10,Toronto,104,Atlanta,96
2016-03-12,Atlanta,95,Memphis,83
2016-03-13,Atlanta,104,Indiana,75
2016-03-16,Detroit,114,Atlanta,118
2016-03-17,Atlanta,116,Denver,98
2016-03-19,Atlanta,109,Houston,97
2016-03-21,Atlanta,102,Washington,117
2016-03-23,Washington,101,Atlanta,122
2016-03-25,Atlanta,101,Milwaukee,90
2016-03-26,Detroit,95,Atlanta,112
2016-03-28,Chicago,100,Atlanta,102
2016-03-30,Toronto,105,Atlanta,97
2016-04-01,Atlanta,108 OT,Cleveland,110
2016-04-05,Atlanta,103,Phoenix,90
2016-04-07,Atlanta,95,Toronto,87
2016-04-09,Atlanta,118,Boston,107
2016-04-11,Cleveland,109,Atlanta,94
2016-04-13,Washington,109,Atlanta,98
