date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Brooklyn,100,Chicago,115
2016-10-30,San Antonio,102,Brooklyn,75
2016-10-31,Memphis,101,Brooklyn,91
2016-11-02,Brooklyn,96,Milwaukee,103
2016-11-04,Atlanta,101,Brooklyn,87
2016-11-06,Brooklyn,98,Los Angeles,104
2016-11-07,Milwaukee,94,Brooklyn,86
2016-11-11,Houston,98,Brooklyn,106
2016-11-13,Sacramento,111,Brooklyn,109
2016-11-14,Golden State,107,Brooklyn,99 OT
2016-11-17,Brooklyn,90,Atlanta,88
2016-11-18,Charlotte,116,Brooklyn,111
2016-11-20,Boston,120,Brooklyn,95
2016-11-22,Brooklyn,111,Boston,101
2016-11-25,Oklahoma City,110,Brooklyn,99
2016-11-28,Cleveland,90,Brooklyn,88
2016-11-29,Brooklyn,87,Detroit,83
2016-12-01,Brooklyn,94,Phoenix,91
2016-12-04,NY Knicks,108,Brooklyn,91
2016-12-06,Brooklyn,98,Golden State,114
2016-12-08,Brooklyn,110,Houston,105
2016-12-10,Brooklyn,100,Philadelphia,91
2016-12-12,Brooklyn,100,LA,105
2016-12-14,Brooklyn,82,Orlando,105
2016-12-16,Brooklyn,98,Miami,104
2016-12-18,Indiana,104,Brooklyn,97
2016-12-20,Brooklyn,85,Minnesota,100
2016-12-21,Chicago,102,Brooklyn,105
2016-12-23,Brooklyn,118 OT,Dallas,119
2016-12-26,Brooklyn,96,Washington,111
2016-12-28,Miami,105,Brooklyn,111
2016-12-30,Orlando,100,Brooklyn,93
2016-01-02,Boston,97,Brooklyn,100
2016-01-04,Brooklyn,94,Boston,103
2016-01-06,Brooklyn,74,Toronto,91
2016-01-08,Brooklyn,77,Orlando,83
2016-01-09,Detroit,103,Brooklyn,89
2016-01-11,Brooklyn,79,San Antonio,106
2016-01-13,Brooklyn,110,NY Knicks,104
2016-01-15,Brooklyn,104,Portland,116
2016-01-16,Atlanta,114,Brooklyn,86
2016-01-18,Toronto,112,Brooklyn,100
2016-01-20,Brooklyn,78,Cleveland,91
2016-01-22,Brooklyn,86,Utah,108
2016-01-24,Brooklyn,116,Oklahoma City,106
2016-01-26,Brooklyn,98,Miami,102
2016-01-29,Dallas,91,Brooklyn,79
2016-01-30,New Orleans,105,Brooklyn,103
2016-02-01,Brooklyn,100,Detroit,105
2016-02-03,Brooklyn,100,Indiana,114
2016-02-05,Brooklyn,128,Sacramento,119
2016-02-06,Philadelphia,103,Brooklyn,98
2016-02-08,Brooklyn,105,Denver,104
2016-02-10,Brooklyn,90,Memphis,109
2016-02-19,Brooklyn,109,NY Knicks,98
2016-02-21,Brooklyn,96,Charlotte,104
2016-02-23,Portland,112,Brooklyn,104
2016-02-25,Phoenix,106,Brooklyn,116
2016-02-27,Utah,96,Brooklyn,98
2016-02-29,LA,105,Brooklyn,95
2016-03-01,Los Angeles,107,Brooklyn,101
2016-03-04,Denver,120 OT,Brooklyn,121
2016-03-05,Minnesota,132,Brooklyn,118
2016-03-08,Toronto,104,Brooklyn,99
2016-03-11,Philadelphia,95,Brooklyn,89
2016-03-13,Brooklyn,100,Milwaukee,109
2016-03-15,Brooklyn,131,Philadelphia,114
2016-03-17,Chicago,118,Brooklyn,102
2016-03-19,Detroit,115,Brooklyn,103
2016-03-22,Brooklyn,100,Charlotte,105
2016-03-24,Brooklyn,104,Cleveland,95
2016-03-26,Brooklyn,120,Indiana,110
2016-03-28,Miami,110,Brooklyn,99
2016-03-29,Orlando,139,Brooklyn,105
2016-03-31,Cleveland,107,Brooklyn,87
2016-04-01,NY Knicks,105,Brooklyn,91
2016-04-03,Brooklyn,87,New Orleans,106
2016-04-06,Washington,121,Brooklyn,103
2016-04-08,Charlotte,113,Brooklyn,99
2016-04-10,Indiana,129,Brooklyn,105
2016-04-11,Brooklyn,111,Washington,120
2016-04-13,Brooklyn,96,Toronto,103
