date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Miami,104,Charlotte,94
2016-10-30,Atlanta,97,Charlotte,94
2016-11-01,Charlotte,92,Atlanta,94
2016-11-03,Charlotte,130,Chicago,105
2016-11-05,Dallas,94,Charlotte,108
2016-11-07,San Antonio,114,Charlotte,94
2016-11-10,Minnesota,95,Charlotte,104
2016-11-11,Charlotte,95,NY Knicks,93
2016-11-13,Chicago,102,Charlotte,97
2016-11-15,Charlotte,106,Portland,94
2016-11-17,NY Knicks,102,Charlotte,94
2016-11-18,Charlotte,116,Brooklyn,111
2016-11-20,Charlotte,113,Philadelphia,88
2016-11-23,Charlotte,127,Sacramento,122 OT
2016-11-25,Charlotte,101,Washington,87
2016-11-27,Charlotte,90,Cleveland,95
2016-11-29,Charlotte,87,Milwaukee,82
2016-12-02,Charlotte,99,Golden State,116
2016-12-05,Chicago,96,Charlotte,102
2016-12-07,Charlotte,104,Detroit,84
2016-12-09,Charlotte,99,Miami,81
2016-12-11,Memphis,99,Charlotte,123
2016-12-12,Charlotte,93,Boston,98
2016-12-16,Orlando,113,Charlotte,98
2016-12-17,Charlotte,109,Toronto,99 OT
2016-12-19,Washington,109,Charlotte,101
2016-12-21,Houston,102,Charlotte,95
2016-12-23,Charlotte,89,Boston,102
2016-12-26,Charlotte,98,Memphis,92
2016-12-28,Charlotte,108,Los Angeles,98
2016-12-30,Charlotte,117,LA,122
2016-01-01,Toronto,104,Charlotte,94
2016-01-02,Charlotte,90,Oklahoma City,109
2016-01-04,Golden State,111,Charlotte,101
2016-01-06,Phoenix,111,Charlotte,102
2016-01-09,LA,97,Charlotte,83
2016-01-10,Denver,95,Charlotte,92
2016-01-13,Charlotte,107,Atlanta,84
2016-01-15,New Orleans,109,Charlotte,107
2016-01-16,Charlotte,92,Milwaukee,105
2016-01-18,Charlotte,124,Utah,119 2OT
2016-01-20,Oklahoma City,109,Charlotte,95
2016-01-22,Orlando,116 OT,Charlotte,120
2016-01-23,Charlotte,97,NY Knicks,84
2016-01-25,Sacramento,128 2OT,Charlotte,129
2016-01-27,Utah,102,Charlotte,73
2016-01-29,Portland,109,Charlotte,91
2016-01-31,Los Angeles,82,Charlotte,101
2016-02-03,Charlotte,106,Cleveland,97
2016-02-05,Charlotte,95,Miami,98
2016-02-06,Charlotte,108,Washington,104
2016-02-08,Charlotte,108,Chicago,91
2016-02-10,Indiana,95,Charlotte,117
2016-02-19,Milwaukee,95,Charlotte,98
2016-02-21,Brooklyn,96,Charlotte,104
2016-02-24,Cleveland,114,Charlotte,103
2016-02-26,Indiana,95,Charlotte,96
2016-02-28,Atlanta,87,Charlotte,76
2016-03-01,Charlotte,126,Phoenix,92
2016-03-02,Philadelphia,99,Charlotte,119
2016-03-04,Charlotte,108,Indiana,101
2016-03-07,Charlotte,108,Minnesota,103
2016-03-09,Charlotte,122,New Orleans,113
2016-03-11,Charlotte,118,Detroit,103
2016-03-12,Charlotte,125,Houston,109
2016-03-14,Charlotte,96,Dallas,107
2016-03-16,Charlotte,107,Orlando,99
2016-03-17,Miami,106,Charlotte,109
2016-03-19,Charlotte,93,Denver,101
2016-03-21,Charlotte,91,San Antonio,88
2016-03-22,Brooklyn,100,Charlotte,105
2016-03-25,Detroit,112,Charlotte,105
2016-03-26,Milwaukee,91,Charlotte,115
2016-03-29,Philadelphia,85,Charlotte,100
2016-04-01,Charlotte,100,Philadelphia,91
2016-04-03,Cleveland,112,Charlotte,103
2016-04-05,Toronto,96,Charlotte,90
2016-04-06,NY Knicks,97,Charlotte,111
2016-04-08,Charlotte,113,Brooklyn,99
2016-04-10,Washington,113,Charlotte,98
2016-04-11,Boston,100,Charlotte,114
2016-04-13,Charlotte,117,Orlando,103
