date,home_team,home_team_score,visit_team,visit_team_score
2016-10-27,Chicago,97,Cleveland,95
2016-10-28,Brooklyn,100,Chicago,115
2016-10-30,Detroit,98,Chicago,94 OT
2016-11-01,Chicago,92,Orlando,87
2016-11-03,Charlotte,130,Chicago,105
2016-11-05,Chicago,104,Oklahoma City,98
2016-11-07,Chicago,93 OT,Minnesota,102
2016-11-09,Philadelphia,88,Chicago,111
2016-11-13,Chicago,102,Charlotte,97
2016-11-16,Chicago,96,Indiana,95
2016-11-18,Phoenix,97,Chicago,103
2016-11-20,Golden State,106,Chicago,94
2016-11-24,Portland,88,Chicago,93
2016-11-27,Indiana,104,Chicago,92
2016-11-30,Chicago,92,San Antonio,89
2016-12-02,Chicago,99,Denver,90
2016-12-05,Chicago,96,Charlotte,102
2016-12-07,Chicago,101,Phoenix,103
2016-12-09,Boston,105,Chicago,100
2016-12-10,Chicago,83,LA,80
2016-12-12,Chicago,98,New Orleans,94
2016-12-14,Chicago,115,Philadelphia,96
2016-12-16,Chicago,98,Memphis,85
2016-12-18,Chicago,144 4OT,Detroit,147
2016-12-19,NY Knicks,107,Chicago,91
2016-12-21,Chicago,102,Brooklyn,105
2016-12-25,Oklahoma City,96,Chicago,105
2016-12-26,Dallas,118,Chicago,111
2016-12-28,Chicago,104,Toronto,97
2016-12-30,Chicago,102,Indiana,100 OT
2016-01-01,Chicago,108,NY Knicks,81
2016-01-03,Toronto,113,Chicago,115
2016-01-05,Chicago,117,Milwaukee,106
2016-01-07,Chicago,101,Boston,92
2016-01-09,Atlanta,120,Chicago,105
2016-01-11,Chicago,100,Washington,114
2016-01-12,Milwaukee,106,Chicago,101
2016-01-14,Philadelphia,111 OT,Chicago,115
2016-01-15,Chicago,77,Dallas,83
2016-01-18,Detroit,101,Chicago,111
2016-01-20,Chicago,94,Golden State,125
2016-01-22,Boston,110,Chicago,101
2016-01-23,Cleveland,83,Chicago,96
2016-01-25,Chicago,84,Miami,89
2016-01-28,Los Angeles,91,Chicago,114
2016-01-31,LA,120,Chicago,93
2016-02-01,Utah,105,Chicago,96 OT
2016-02-03,Sacramento,102,Chicago,107
2016-02-05,Denver,115,Chicago,110
2016-02-06,Minnesota,112,Chicago,105
2016-02-08,Charlotte,108,Chicago,91
2016-02-10,Chicago,90,Atlanta,113
2016-02-18,Cleveland,106,Chicago,95
2016-02-19,Chicago,116,Toronto,106
2016-02-21,Chicago,126,Los Angeles,115
2016-02-24,Chicago,109,Washington,104
2016-02-26,Atlanta,103,Chicago,88
2016-02-27,Chicago,95,Portland,103
2016-03-01,Miami,129,Chicago,111
2016-03-02,Orlando,102,Chicago,89
2016-03-05,Chicago,108,Houston,100
2016-03-07,Chicago,100,Milwaukee,90
2016-03-10,San Antonio,109,Chicago,101
2016-03-11,Chicago,96,Miami,118
2016-03-14,Toronto,107,Chicago,109
2016-03-16,Washington,117,Chicago,96
2016-03-17,Chicago,118,Brooklyn,102
2016-03-19,Chicago,92,Utah,85
2016-03-21,Chicago,109,Sacramento,102
2016-03-23,Chicago,107,NY Knicks,115
2016-03-24,NY Knicks,106,Chicago,94
2016-03-26,Orlando,111,Chicago,89
2016-03-28,Chicago,100,Atlanta,102
2016-03-29,Indiana,96,Chicago,98
2016-03-31,Houston,100,Chicago,103
2016-04-02,Chicago,90,Detroit,94
2016-04-03,Milwaukee,98,Chicago,102
2016-04-05,Memphis,108,Chicago,92
2016-04-07,Miami,106,Chicago,98
2016-04-09,Chicago,105,Cleveland,102
2016-04-11,New Orleans,116,Chicago,121
2016-04-13,Chicago,115,Philadelphia,105
