date,home_team,home_team_score,visit_team,visit_team_score
2016-10-27,Chicago,97,Cleveland,95
2016-10-28,Memphis,76,Cleveland,106
2016-10-30,Cleveland,102,Miami,92
2016-11-02,Philadelphia,100,Cleveland,107
2016-11-04,Cleveland,96,NY Knicks,86
2016-11-06,Cleveland,108,Philadelphia,102
2016-11-08,Cleveland,101,Indiana,97
2016-11-10,Cleveland,118,Utah,114
2016-11-13,NY Knicks,84,Cleveland,90
2016-11-14,Milwaukee,108,Cleveland,105 2OT
2016-11-17,Detroit,104,Cleveland,99
2016-11-19,Cleveland,115,Milwaukee,100
2016-11-21,Cleveland,109,Atlanta,97
2016-11-23,Cleveland,117,Orlando,103
2016-11-25,Toronto,103,Cleveland,99
2016-11-27,Charlotte,90,Cleveland,95
2016-11-28,Cleveland,90,Brooklyn,88
2016-12-01,Cleveland,85,Washington,97
2016-12-04,New Orleans,114,Cleveland,108 OT
2016-12-05,Miami,99,Cleveland,84
2016-12-08,Cleveland,105,Portland,100
2016-12-11,Orlando,76,Cleveland,111
2016-12-15,Boston,77,Cleveland,89
2016-12-17,Cleveland,104,Oklahoma City,100
2016-12-20,Cleveland,108,Philadelphia,86
2016-12-23,Cleveland,91,NY Knicks,84
2016-12-25,Golden State,89,Cleveland,83
2016-12-26,Portland,105,Cleveland,76
2016-12-28,Phoenix,97,Cleveland,101
2016-12-29,Denver,87,Cleveland,93
2016-01-02,Cleveland,104,Orlando,79
2016-01-04,Cleveland,122,Toronto,100
2016-01-06,Washington,115,Cleveland,121
2016-01-08,Minnesota,99,Cleveland,125
2016-01-10,Philadelphia,85,Cleveland,95
2016-01-12,Dallas,107 OT,Cleveland,110
2016-01-14,San Antonio,99,Cleveland,95
2016-01-15,Houston,77,Cleveland,91
2016-01-18,Cleveland,98,Golden State,132
2016-01-20,Brooklyn,78,Cleveland,91
2016-01-21,Cleveland,115,LA,102
2016-01-23,Cleveland,83,Chicago,96
2016-01-25,Cleveland,114,Minnesota,107
2016-01-27,Cleveland,115,Phoenix,93
2016-01-29,Detroit,106,Cleveland,114
2016-01-30,Cleveland,117,San Antonio,103
2016-02-01,Indiana,106 OT,Cleveland,111
2016-02-03,Charlotte,106,Cleveland,97
2016-02-05,Cleveland,103,Boston,104
2016-02-06,Cleveland,99,New Orleans,84
2016-02-08,Cleveland,120,Sacramento,100
2016-02-10,Cleveland,120,Los Angeles,111
2016-02-18,Cleveland,106,Chicago,95
2016-02-21,Oklahoma City,92,Cleveland,115
2016-02-22,Cleveland,88,Detroit,96
2016-02-24,Cleveland,114,Charlotte,103
2016-02-26,Toronto,99,Cleveland,97
2016-02-28,Washington,113,Cleveland,99
2016-02-29,Cleveland,100,Indiana,96
2016-03-04,Cleveland,108,Washington,83
2016-03-05,Cleveland,120,Boston,103
2016-03-07,Cleveland,103,Memphis,106
2016-03-09,Sacramento,111,Cleveland,120
2016-03-10,Los Angeles,108,Cleveland,120
2016-03-13,LA,90,Cleveland,114
2016-03-14,Utah,94,Cleveland,85
2016-03-16,Cleveland,99,Dallas,98
2016-03-18,Orlando,103,Cleveland,109
2016-03-19,Miami,122,Cleveland,101
2016-03-21,Cleveland,124,Denver,91
2016-03-23,Cleveland,113,Milwaukee,104
2016-03-24,Brooklyn,104,Cleveland,95
2016-03-26,NY Knicks,93,Cleveland,107
2016-03-29,Cleveland,100,Houston,106
2016-03-31,Cleveland,107,Brooklyn,87
2016-04-01,Atlanta,108 OT,Cleveland,110
2016-04-03,Cleveland,112,Charlotte,103
2016-04-05,Milwaukee,80,Cleveland,109
2016-04-06,Indiana,123,Cleveland,109
2016-04-09,Chicago,105,Cleveland,102
2016-04-11,Cleveland,109,Atlanta,94
2016-04-13,Cleveland,110 OT,Detroit,112
