date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Phoenix,95,Dallas,111
2016-10-29,LA,104,Dallas,88
2016-11-01,Los Angeles,93,Dallas,103
2016-11-03,Dallas,91,Toronto,102
2016-11-05,Dallas,94,Charlotte,108
2016-11-07,Dallas,107,New Orleans,98
2016-11-10,New Orleans,120,Dallas,105
2016-11-11,Dallas,118,LA,108
2016-11-13,Dallas,90,Los Angeles,82
2016-11-14,Houston,98,Dallas,110
2016-11-16,Philadelphia,86,Dallas,92
2016-11-18,Boston,102,Dallas,106
2016-11-20,Dallas,102,Utah,93
2016-11-22,Oklahoma City,117,Dallas,114
2016-11-24,Memphis,110,Dallas,96
2016-11-25,San Antonio,88,Dallas,83
2016-11-28,Dallas,92,Denver,81
2016-11-30,Sacramento,112,Dallas,98
2016-12-01,Portland,112 OT,Dallas,115
2016-12-04,Dallas,96,Houston,100
2016-12-06,Washington,104,Dallas,116
2016-12-07,NY Knicks,97,Dallas,104
2016-12-09,Dallas,95,Atlanta,98
2016-12-12,Dallas,111,Washington,114
2016-12-14,Dallas,104,Phoenix,94
2016-12-16,Indiana,107,Dallas,81
2016-12-18,Dallas,97,Memphis,88
2016-12-22,Toronto,103,Dallas,99
2016-12-23,Brooklyn,118 OT,Dallas,119
2016-12-26,Dallas,118,Chicago,111
2016-12-28,Dallas,103,Milwaukee,93
2016-12-30,Dallas,114,Golden State,91
2016-01-01,Miami,106,Dallas,82
2016-01-02,Dallas,98,New Orleans,105
2016-01-05,Dallas,117,Sacramento,116 2OT
2016-01-06,New Orleans,91,Dallas,100
2016-01-08,Milwaukee,96,Dallas,95
2016-01-10,Minnesota,87,Dallas,93
2016-01-12,Dallas,107 OT,Cleveland,110
2016-01-13,Oklahoma City,108,Dallas,89
2016-01-15,Chicago,77,Dallas,83
2016-01-17,San Antonio,112,Dallas,83
2016-01-18,Dallas,118,Boston,113 OT
2016-01-20,Dallas,106,Minnesota,94 OT
2016-01-22,Dallas,106,Oklahoma City,109
2016-01-24,Houston,115,Dallas,104
2016-01-26,Los Angeles,90,Dallas,92
2016-01-27,Golden State,127,Dallas,107
2016-01-29,Dallas,91,Brooklyn,79
2016-01-31,Dallas,91,Phoenix,78
2016-02-01,Atlanta,112,Dallas,97
2016-02-03,Dallas,90,Miami,93
2016-02-05,Dallas,90,San Antonio,116
2016-02-06,Memphis,110 OT,Dallas,114
2016-02-09,Dallas,119 OT,Utah,121
2016-02-19,Orlando,110,Dallas,104 OT
2016-02-21,Dallas,129,Philadelphia,103
2016-02-24,Dallas,103,Oklahoma City,116
2016-02-26,Dallas,122,Denver,116 OT
2016-02-28,Dallas,128,Minnesota,101
2016-03-01,Dallas,121,Orlando,108
2016-03-03,Dallas,101,Sacramento,104
2016-03-06,Denver,116,Dallas,114 OT
2016-03-07,Dallas,90,LA,109
2016-03-09,Dallas,96,Detroit,102
2016-03-12,Dallas,105,Indiana,112
2016-03-14,Charlotte,96,Dallas,107
2016-03-16,Cleveland,99,Dallas,98
2016-03-18,Dallas,112,Golden State,130
2016-03-20,Dallas,132,Portland,120 OT
2016-03-23,Portland,109,Dallas,103
2016-03-25,Golden State,128,Dallas,120
2016-03-27,Sacramento,133,Dallas,111
2016-03-28,Denver,88,Dallas,97
2016-03-30,Dallas,91,NY Knicks,89
2016-04-01,Detroit,89,Dallas,98
2016-04-03,Minnesota,78,Dallas,88
2016-04-06,Dallas,88,Houston,86
2016-04-08,Dallas,103,Memphis,93
2016-04-10,LA,98,Dallas,91
2016-04-11,Utah,92,Dallas,101
2016-04-13,Dallas,91,San Antonio,96
