date,home_team,home_team_score,visit_team,visit_team_score
2016-10-27,Atlanta,94,Detroit,106
2016-10-28,Detroit,92,Utah,87
2016-10-30,Detroit,98,Chicago,94 OT
2016-11-03,Detroit,82,Indiana,94
2016-11-06,Phoenix,92,Detroit,100
2016-11-08,Portland,103,Detroit,120
2016-11-09,Golden State,109,Detroit,95
2016-11-11,Sacramento,101,Detroit,92
2016-11-14,LA,101,Detroit,96
2016-11-15,Los Angeles,97,Detroit,85
2016-11-17,Detroit,104,Cleveland,99
2016-11-20,Minnesota,86,Detroit,96
2016-11-21,Detroit,95,Washington,97
2016-11-23,Milwaukee,109,Detroit,88
2016-11-25,Detroit,104,Miami,81
2016-11-27,Oklahoma City,103,Detroit,87
2016-11-29,Brooklyn,87,Detroit,83
2016-11-30,Detroit,116,Houston,105
2016-12-02,Detroit,127,Phoenix,122 OT
2016-12-04,Detroit,102,Milwaukee,95
2016-12-06,Detroit,111,Los Angeles,91
2016-12-07,Charlotte,104,Detroit,84
2016-12-09,Detroit,92,Memphis,93
2016-12-11,Philadelphia,95,Detroit,107
2016-12-12,Detroit,118,Indiana,96
2016-12-14,Detroit,103 OT,LA,105
2016-12-16,Detroit,119,Boston,116
2016-12-18,Chicago,144 4OT,Detroit,147
2016-12-22,Miami,92,Detroit,93
2016-12-23,Atlanta,107,Detroit,100
2016-12-26,Detroit,93,Boston,99
2016-12-29,NY Knicks,108,Detroit,96
2016-12-31,Detroit,115,Minnesota,90
2016-01-02,Indiana,94,Detroit,82
2016-01-04,Detroit,115,Orlando,89
2016-01-06,Boston,94,Detroit,99
2016-01-09,Detroit,103,Brooklyn,89
2016-01-12,Detroit,99,San Antonio,109
2016-01-14,Memphis,103,Detroit,101
2016-01-16,Detroit,113,Golden State,95
2016-01-18,Detroit,101,Chicago,111
2016-01-20,Houston,114,Detroit,123
2016-01-21,New Orleans,115,Detroit,99
2016-01-23,Denver,104,Detroit,101
2016-01-25,Utah,92,Detroit,95
2016-01-27,Detroit,110,Philadelphia,97
2016-01-29,Detroit,106,Cleveland,114
2016-01-30,Toronto,111,Detroit,107
2016-02-01,Brooklyn,100,Detroit,105
2016-02-03,Boston,102,Detroit,95
2016-02-04,Detroit,111,NY Knicks,105
2016-02-06,Indiana,112,Detroit,104
2016-02-08,Detroit,89,Toronto,103
2016-02-10,Detroit,92,Denver,103
2016-02-19,Washington,98,Detroit,86
2016-02-21,Detroit,106,New Orleans,111
2016-02-22,Cleveland,88,Detroit,96
2016-02-24,Detroit,111,Philadelphia,91
2016-02-27,Milwaukee,91,Detroit,102
2016-02-28,Detroit,114,Toronto,101
2016-03-02,San Antonio,97,Detroit,81
2016-03-05,NY Knicks,102,Detroit,89
2016-03-06,Detroit,123,Portland,103
2016-03-09,Dallas,96,Detroit,102
2016-03-11,Charlotte,118,Detroit,103
2016-03-12,Philadelphia,111,Detroit,125
2016-03-14,Washington,124,Detroit,81
2016-03-16,Detroit,114,Atlanta,118
2016-03-18,Detroit,115,Sacramento,108
2016-03-19,Detroit,115,Brooklyn,103
2016-03-21,Detroit,92,Milwaukee,91
2016-03-23,Detroit,118,Orlando,102
2016-03-25,Detroit,112,Charlotte,105
2016-03-26,Detroit,95,Atlanta,112
2016-03-29,Detroit,88,Oklahoma City,82
2016-04-01,Detroit,89,Dallas,98
2016-04-02,Chicago,90,Detroit,94
2016-04-05,Miami,107,Detroit,89
2016-04-06,Orlando,104,Detroit,108
2016-04-08,Detroit,112,Washington,99
2016-04-12,Detroit,93,Miami,99
2016-04-13,Cleveland,110 OT,Detroit,112
