date,home_team,home_team_score,visit_team,visit_team_score
2016-10-27,Golden,111,New Orleans,95
2016-10-30,Houston,92,Golden,112
2016-10-31,New Orleans,120,Golden,134
2016-11-02,Golden,119,Memphis,69
2016-11-04,Golden,112,LA,108
2016-11-06,Golden,119,Denver,104
2016-11-07,Sacramento,94,Golden,103
2016-11-09,Golden,109,Detroit,95
2016-11-11,Memphis,84,Golden,100
2016-11-12,Minnesota,116,Golden,129
2016-11-14,Golden,107,Brooklyn,99 OT
2016-11-17,Golden,115,Toronto,110
2016-11-19,LA,117,Golden,124
2016-11-20,Golden,106,Chicago,94
2016-11-22,Denver,105,Golden,118
2016-11-24,Golden,111,Los Angeles,77
2016-11-27,Phoenix,116,Golden,135
2016-11-28,Golden,120,Sacramento,101
2016-11-30,Utah,103,Golden,106
2016-12-02,Charlotte,99,Golden,116
2016-12-05,Toronto,109,Golden,112
2016-12-06,Brooklyn,98,Golden,114
2016-12-08,Indiana,123,Golden,131
2016-12-11,Boston,119 2OT,Golden,124
2016-12-12,Milwaukee,108,Golden,95
2016-12-16,Golden,128,Phoenix,103
2016-12-18,Golden,121,Milwaukee,112
2016-12-23,Golden,103,Utah,85
2016-12-25,Golden,89,Cleveland,83
2016-12-28,Golden,122,Sacramento,103
2016-12-30,Dallas,114,Golden,91
2016-12-31,Houston,110,Golden,114
2016-01-02,Golden,111,Denver,108 OT
2016-01-04,Golden,111,Charlotte,101
2016-01-05,Los Angeles,88,Golden,109
2016-01-08,Portland,108,Golden,128
2016-01-09,Sacramento,116,Golden,128
2016-01-11,Golden,111,Miami,103
2016-01-13,Denver,112,Golden,110
2016-01-14,Golden,116,Los Angeles,98
2016-01-16,Detroit,113,Golden,95
2016-01-18,Cleveland,98,Golden,132
2016-01-20,Chicago,94,Golden,125
2016-01-22,Golden,122,Indiana,110
2016-01-25,Golden,120,San Antonio,90
2016-01-27,Golden,127,Dallas,107
2016-01-30,Philadelphia,105,Golden,108
2016-01-31,NY Knicks,95,Golden,116
2016-02-03,Washington,121,Golden,134
2016-02-06,Golden,116,Oklahoma City,108
2016-02-09,Golden,123,Houston,110
2016-02-10,Phoenix,104,Golden,112
2016-02-19,Portland,137,Golden,105
2016-02-20,LA,112,Golden,115
2016-02-22,Atlanta,92,Golden,102
2016-02-24,Miami,112,Golden,118
2016-02-25,Orlando,114,Golden,130
2016-02-27,Oklahoma City,118 OT,Golden,121
2016-03-01,Golden,109,Atlanta,105 OT
2016-03-03,Golden,121,Oklahoma City,106
2016-03-06,Los Angeles,112,Golden,95
2016-03-07,Golden,119,Orlando,113
2016-03-09,Golden,115,Utah,94
2016-03-11,Golden,128,Portland,112
2016-03-12,Golden,123,Phoenix,116
2016-03-14,Golden,125,New Orleans,107
2016-03-16,Golden,121,NY Knicks,85
2016-03-18,Dallas,112,Golden,130
2016-03-19,San Antonio,87,Golden,79
2016-03-21,Minnesota,104,Golden,109
2016-03-23,Golden,114,LA,98
2016-03-25,Golden,128,Dallas,120
2016-03-27,Golden,117,Philadelphia,105
2016-03-29,Golden,102,Washington,94
2016-03-30,Utah,96 OT,Golden,103
2016-04-01,Golden,106,Boston,109
2016-04-03,Golden,136,Portland,111
2016-04-05,Golden,117 OT,Minnesota,124
2016-04-07,Golden,112,San Antonio,101
2016-04-09,Memphis,99,Golden,100
2016-04-10,San Antonio,86,Golden,92
2016-04-13,Golden,125,Memphis,104
