date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Houston,85,Denver,105
2016-10-30,Houston,92,Golden State,112
2016-11-01,Miami,109,Houston,89
2016-11-02,Houston,110,Oklahoma City,105
2016-11-04,Houston,119,Orlando,114 OT
2016-11-06,Sacramento,110,Houston,116
2016-11-07,LA,105,Houston,109
2016-11-11,Houston,98,Brooklyn,106
2016-11-13,Denver,107,Houston,98
2016-11-14,Houston,98,Dallas,110
2016-11-16,Houston,95,Boston,111
2016-11-18,Houston,108,Portland,103 OT
2016-11-20,Memphis,96,Houston,84
2016-11-21,Houston,102,NY Knicks,107
2016-11-25,Houston,93,Memphis,102
2016-11-27,Houston,116,Philadelphia,114
2016-11-29,NY Knicks,111 OT,Houston,116
2016-11-30,Detroit,116,Houston,105
2016-12-02,Houston,108,New Orleans,101
2016-12-04,Dallas,96,Houston,100
2016-12-05,Houston,120,Sacramento,113
2016-12-08,Brooklyn,110,Houston,105
2016-12-09,Washington,103,Houston,109
2016-12-12,Houston,126,Los Angeles,97
2016-12-14,Denver,114,Houston,108
2016-12-15,Sacramento,107,Houston,97
2016-12-17,Los Angeles,87,Houston,107
2016-12-19,Houston,107,LA,97
2016-12-21,Houston,102,Charlotte,95
2016-12-23,Orlando,104,Houston,101
2016-12-25,Houston,88,San Antonio,84
2016-12-26,New Orleans,110,Houston,108
2016-12-29,Houston,115,Atlanta,121
2016-12-31,Houston,110,Golden State,114
2016-01-02,San Antonio,121,Houston,103
2016-01-04,Utah,91,Houston,93
2016-01-07,Houston,103,Utah,94
2016-01-10,Houston,107,Indiana,103 OT
2016-01-12,Memphis,91,Houston,107
2016-01-13,Houston,107,Minnesota,104
2016-01-15,Houston,77,Cleveland,91
2016-01-17,Los Angeles,95,Houston,112
2016-01-18,LA,140,Houston,132 OT
2016-01-20,Houston,114,Detroit,123
2016-01-22,Houston,102,Milwaukee,98
2016-01-24,Houston,115,Dallas,104
2016-01-25,New Orleans,111,Houston,112
2016-01-27,San Antonio,130,Houston,99
2016-01-29,Oklahoma City,116,Houston,108
2016-01-30,Houston,122,Washington,123
2016-02-02,Houston,115,Miami,102
2016-02-04,Phoenix,105,Houston,111
2016-02-06,Houston,79,Portland,96
2016-02-09,Golden State,123,Houston,110
2016-02-10,Portland,116,Houston,103
2016-02-19,Phoenix,100,Houston,116
2016-02-23,Utah,117,Houston,114 OT
2016-02-25,Portland,105,Houston,119
2016-02-27,Houston,94,San Antonio,104
2016-02-29,Milwaukee,128,Houston,121
2016-03-02,Houston,100,New Orleans,95
2016-03-05,Chicago,108,Houston,100
2016-03-06,Toronto,107,Houston,113
2016-03-09,Philadelphia,104,Houston,118
2016-03-11,Boston,98,Houston,102
2016-03-12,Charlotte,125,Houston,109
2016-03-14,Houston,130,Memphis,81
2016-03-16,Houston,106,LA,122
2016-03-18,Houston,116,Minnesota,111
2016-03-19,Atlanta,109,Houston,97
2016-03-22,Oklahoma City,111,Houston,107
2016-03-23,Houston,87,Utah,89
2016-03-25,Houston,112,Toronto,109
2016-03-27,Indiana,104,Houston,101
2016-03-29,Cleveland,100,Houston,106
2016-03-31,Houston,100,Chicago,103
2016-04-03,Houston,118,Oklahoma City,110
2016-04-06,Dallas,88,Houston,86
2016-04-07,Houston,115,Phoenix,124
2016-04-10,Houston,130,Los Angeles,110
2016-04-11,Minnesota,105,Houston,129
2016-04-13,Houston,116,Sacramento,81
