date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Toronto,106,Indiana,99
2016-10-29,Indiana,103,Memphis,112
2016-10-31,Indiana,76,Utah,97
2016-11-03,Detroit,82,Indiana,94
2016-11-04,Indiana,100,Boston,98
2016-11-06,Indiana,90,Miami,87
2016-11-08,Cleveland,101,Indiana,97
2016-11-09,Indiana,97,Orlando,84
2016-11-11,Boston,91,Indiana,102
2016-11-13,Indiana,107,Minnesota,103
2016-11-16,Chicago,96,Indiana,95
2016-11-18,Philadelphia,85,Indiana,112
2016-11-21,Indiana,123,Milwaukee,86
2016-11-24,Washington,106,Indiana,123
2016-11-27,Indiana,104,Chicago,92
2016-11-29,Los Angeles,103,Indiana,107
2016-12-02,LA,91,Indiana,103
2016-12-03,Portland,123,Indiana,111
2016-12-05,Utah,122,Indiana,119 OT
2016-12-08,Indiana,123,Golden State,131
2016-12-11,Indiana,96,Miami,83
2016-12-12,Detroit,118,Indiana,96
2016-12-14,Indiana,106,Toronto,90
2016-12-16,Indiana,107,Dallas,81
2016-12-18,Indiana,104,Brooklyn,97
2016-12-19,Memphis,96,Indiana,84
2016-12-21,San Antonio,106,Indiana,92
2016-12-23,Indiana,106,Sacramento,108
2016-12-26,Minnesota,88,Indiana,102
2016-12-28,Indiana,93,Atlanta,87
2016-12-30,Chicago,102,Indiana,100 OT
2016-12-31,Indiana,116,Milwaukee,120
2016-01-02,Indiana,94,Detroit,82
2016-01-04,Miami,103,Indiana,100 OT
2016-01-06,Orlando,86,Indiana,95
2016-01-08,New Orleans,86,Indiana,91
2016-01-10,Houston,107,Indiana,103 OT
2016-01-12,Indiana,116,Phoenix,97
2016-01-13,Boston,103,Indiana,94
2016-01-15,Indiana,104,Washington,118
2016-01-17,Denver,129,Indiana,126
2016-01-19,Phoenix,94,Indiana,97
2016-01-22,Golden State,122,Indiana,110
2016-01-23,Sacramento,108,Indiana,97
2016-01-26,Indiana,89,LA,91
2016-01-28,Indiana,111,Atlanta,92
2016-01-30,Indiana,109,Denver,105 OT
2016-02-01,Indiana,106 OT,Cleveland,111
2016-02-03,Brooklyn,100,Indiana,114
2016-02-05,Atlanta,102,Indiana,96
2016-02-06,Indiana,112,Detroit,104
2016-02-08,Indiana,89,Los Angeles,87
2016-02-10,Indiana,95,Charlotte,117
2016-02-19,Oklahoma City,98,Indiana,101
2016-02-21,Orlando,102,Indiana,105
2016-02-22,Miami,101,Indiana,93 OT
2016-02-24,Indiana,108,NY Knicks,105
2016-02-26,Indiana,95,Charlotte,96
2016-02-28,Indiana,102,Portland,111
2016-02-29,Cleveland,100,Indiana,96
2016-03-02,Milwaukee,99,Indiana,104
2016-03-04,Charlotte,108,Indiana,101
2016-03-05,Washington,99,Indiana,100
2016-03-07,Indiana,99,San Antonio,91
2016-03-12,Dallas,105,Indiana,112
2016-03-13,Atlanta,104,Indiana,75
2016-03-15,Indiana,103,Boston,98
2016-03-17,Indiana,94 OT,Toronto,101
2016-03-19,Indiana,111,Oklahoma City,115
2016-03-21,Indiana,91,Philadelphia,75
2016-03-24,Indiana,92,New Orleans,84
2016-03-26,Brooklyn,120,Indiana,110
2016-03-27,Indiana,104,Houston,101
2016-03-29,Indiana,96,Chicago,98
2016-03-31,Indiana,94,Orlando,114
2016-04-02,Philadelphia,102,Indiana,115
2016-04-03,NY Knicks,87,Indiana,92
2016-04-06,Indiana,123,Cleveland,109
2016-04-08,Toronto,111,Indiana,98
2016-04-10,Indiana,129,Brooklyn,105
2016-04-12,Indiana,102,NY Knicks,90
2016-04-13,Milwaukee,92,Indiana,97
