date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Sacramento,104,LA,111
2016-10-29,LA,104,Dallas,88
2016-10-31,LA,114,Sacramento,109
2016-11-02,LA,102,Phoenix,96
2016-11-04,Golden State,112,LA,108
2016-11-07,LA,105,Houston,109
2016-11-09,LA,94,Memphis,92
2016-11-11,Dallas,118,LA,108
2016-11-12,Phoenix,118,LA,104
2016-11-14,LA,101,Detroit,96
2016-11-19,LA,117,Golden State,124
2016-11-20,Portland,102,LA,91
2016-11-22,LA,80,Toronto,91
2016-11-24,Denver,94,LA,111
2016-11-25,LA,91,Utah,102
2016-11-27,LA,111,New Orleans,90
2016-11-29,LA,107,Minnesota,99
2016-11-30,LA,102,Portland,87
2016-12-02,LA,91,Indiana,103
2016-12-05,LA,103,Orlando,101
2016-12-07,Minnesota,106,LA,110
2016-12-09,Milwaukee,95,LA,109
2016-12-10,Chicago,83,LA,80
2016-12-12,Brooklyn,100,LA,105
2016-12-14,Detroit,103 OT,LA,105
2016-12-16,LA,103,Milwaukee,90
2016-12-18,San Antonio,115,LA,107
2016-12-19,Houston,107,LA,97
2016-12-21,LA,99,Oklahoma City,100
2016-12-25,Los Angeles,84,LA,94
2016-12-26,Utah,104,LA,109
2016-12-28,Washington,91,LA,108
2016-12-30,Charlotte,117,LA,122
2016-12-31,New Orleans,89,LA,95
2016-01-02,LA,130,Philadelphia,99
2016-01-06,Portland,98,LA,109
2016-01-09,LA,97,Charlotte,83
2016-01-10,LA,114,New Orleans,111 OT
2016-01-13,LA,104,Miami,90
2016-01-16,LA,103,Sacramento,110
2016-01-18,LA,140,Houston,132 OT
2016-01-21,Cleveland,115,LA,102
2016-01-22,NY Knicks,88,LA,116
2016-01-24,Toronto,112,LA,94
2016-01-26,Indiana,89,LA,91
2016-01-27,Atlanta,83,LA,85
2016-01-29,LA,105,Los Angeles,93
2016-01-31,LA,120,Chicago,93
2016-02-03,LA,102,Minnesota,108
2016-02-05,Orlando,93,LA,107
2016-02-07,Miami,93,LA,100
2016-02-08,Philadelphia,92 OT,LA,98
2016-02-10,Boston,139,LA,134 OT
2016-02-18,LA,105,San Antonio,86
2016-02-20,LA,112,Golden State,115
2016-02-22,LA,124,Phoenix,84
2016-02-24,LA,81,Denver,87
2016-02-26,Sacramento,107,LA,117
2016-02-29,LA,105,Brooklyn,95
2016-03-02,LA,103,Oklahoma City,98
2016-03-05,LA,97,Atlanta,107
2016-03-07,Dallas,90,LA,109
2016-03-09,Oklahoma City,120,LA,108
2016-03-11,LA,101,NY Knicks,94
2016-03-13,LA,90,Cleveland,114
2016-03-15,San Antonio,108,LA,87
2016-03-16,Houston,106,LA,122
2016-03-19,Memphis,113,LA,102
2016-03-20,New Orleans,109,LA,105
2016-03-23,Golden State,114,LA,98
2016-03-24,LA,96,Portland,94
2016-03-27,LA,105,Denver,90
2016-03-28,LA,114,Boston,90
2016-03-30,Minnesota,79,LA,99
2016-03-31,Oklahoma City,119,LA,117
2016-04-03,LA,114,Washington,109
2016-04-05,LA,103,Los Angeles,81
2016-04-06,Los Angeles,81,LA,91
2016-04-08,Utah,99 OT,LA,102
2016-04-10,LA,98,Dallas,91
2016-04-12,LA,110,Memphis,84
2016-04-13,Phoenix,114,LA,105
