date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Los,111,Minnesota,112
2016-10-30,Sacramento,132,Los,114
2016-11-01,Los,93,Dallas,103
2016-11-03,Los,109,Denver,120
2016-11-06,Brooklyn,98,Los,104
2016-11-08,NY Knicks,99,Los,95
2016-11-10,Miami,101,Los,88
2016-11-11,Orlando,101,Los,99
2016-11-13,Dallas,90,Los,82
2016-11-15,Los,97,Detroit,85
2016-11-16,Phoenix,120,Los,101
2016-11-20,Los,91,Toronto,102
2016-11-22,Los,93,Portland,107
2016-11-24,Golden State,111,Los,77
2016-11-28,Portland,108,Los,96
2016-11-29,Los,103,Indiana,107
2016-12-01,Philadelphia,103,Los,91
2016-12-02,Washington,104,Los,108
2016-12-04,Atlanta,100,Los,87
2016-12-06,Detroit,111,Los,91
2016-12-07,Toronto,102,Los,93
2016-12-09,Minnesota,123,Los,122 OT
2016-12-11,San Antonio,109,Los,87
2016-12-12,Houston,126,Los,97
2016-12-15,Los,113,Milwaukee,95
2016-12-17,Los,87,Houston,107
2016-12-19,Oklahoma City,118,Los,78
2016-12-22,Denver,107,Los,111
2016-12-23,Los,85,Oklahoma City,120
2016-12-25,Los,84,LA,94
2016-12-27,Memphis,112,Los,96
2016-12-28,Charlotte,108,Los,98
2016-12-30,Boston,104,Los,112
2016-01-01,Los,93,Philadelphia,84
2016-01-03,Los,97,Phoenix,77
2016-01-05,Los,88,Golden State,109
2016-01-07,Sacramento,118,Los,115
2016-01-08,Los,113,Oklahoma City,117
2016-01-10,Los,74,Utah,86
2016-01-12,Los,95,New Orleans,91
2016-01-14,Golden State,116,Los,98
2016-01-16,Utah,109,Los,82
2016-01-17,Los,95,Houston,112
2016-01-20,Los,93,Sacramento,112
2016-01-22,Los,95,San Antonio,108
2016-01-23,Portland,121,Los,103
2016-01-26,Los,90,Dallas,92
2016-01-28,Los,91,Chicago,114
2016-01-29,LA,105,Los,93
2016-01-31,Los,82,Charlotte,101
2016-02-02,Los,119,Minnesota,115
2016-02-04,New Orleans,96,Los,99
2016-02-06,San Antonio,106,Los,102
2016-02-08,Indiana,89,Los,87
2016-02-10,Cleveland,120,Los,111
2016-02-19,Los,113,San Antonio,119
2016-02-21,Chicago,126,Los,115
2016-02-22,Milwaukee,108,Los,101
2016-02-24,Memphis,128,Los,119
2016-02-26,Los,95,Memphis,112
2016-03-01,Los,107,Brooklyn,101
2016-03-02,Denver,117,Los,107
2016-03-04,Los,77,Atlanta,106
2016-03-06,Los,112,Golden State,95
2016-03-08,Los,107,Orlando,98
2016-03-10,Los,108,Cleveland,120
2016-03-13,Los,87,NY Knicks,90
2016-03-15,Los,98,Sacramento,106
2016-03-18,Los,90,Phoenix,95
2016-03-22,Los,107,Memphis,100
2016-03-23,Phoenix,119,Los,107
2016-03-25,Los,105,Denver,116
2016-03-27,Los,88,Washington,101
2016-03-28,Utah,123,Los,75
2016-03-30,Los,102,Miami,100 OT
2016-04-03,Los,100,Boston,107
2016-04-05,LA,103,Los,81
2016-04-06,Los,81,LA,91
2016-04-08,New Orleans,110,Los,102
2016-04-10,Houston,130,Los,110
2016-04-11,Oklahoma City,112,Los,79
2016-04-13,Los,101,Utah,96
