date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Miami,104,Charlotte,94
2016-10-30,Cleveland,102,Miami,92
2016-11-01,Miami,109,Houston,89
2016-11-03,Miami,92,Atlanta,98
2016-11-05,Minnesota,84,Miami,96
2016-11-06,Indiana,90,Miami,87
2016-11-08,Miami,96,Toronto,76
2016-11-10,Miami,101,Los Angeles,88
2016-11-12,Miami,92,Utah,91
2016-11-17,Miami,91,Minnesota,103
2016-11-19,Miami,116,Sacramento,109
2016-11-21,Miami,96,Philadelphia,91
2016-11-23,Miami,95,NY Knicks,78
2016-11-25,Detroit,104,Miami,81
2016-11-27,NY Knicks,78,Miami,97
2016-11-30,Miami,95,Boston,105
2016-12-03,Miami,97,Oklahoma City,95
2016-12-05,Miami,99,Cleveland,84
2016-12-07,Miami,103,Washington,114
2016-12-09,Charlotte,99,Miami,81
2016-12-11,Indiana,96,Miami,83
2016-12-13,Miami,100,Memphis,97
2016-12-14,Atlanta,88,Miami,100
2016-12-16,Brooklyn,98,Miami,104
2016-12-18,Miami,94,Toronto,108
2016-12-20,Miami,116,Portland,109
2016-12-22,Miami,92,Detroit,93
2016-12-25,Miami,94,New Orleans,88 OT
2016-12-26,Orlando,101,Miami,108
2016-12-28,Miami,105,Brooklyn,111
2016-12-29,Memphis,99,Miami,90 OT
2016-01-01,Miami,106,Dallas,82
2016-01-03,Washington,75,Miami,97
2016-01-04,Miami,103,Indiana,100 OT
2016-01-06,Miami,90,NY Knicks,98
2016-01-08,Phoenix,95,Miami,103
2016-01-09,Utah,98,Miami,83
2016-01-11,Golden State,111,Miami,103
2016-01-13,LA,104,Miami,90
2016-01-15,Denver,95,Miami,98
2016-01-17,Oklahoma City,99,Miami,74
2016-01-19,Miami,79,Milwaukee,91
2016-01-20,Washington,106,Miami,87
2016-01-22,Toronto,101,Miami,81
2016-01-25,Chicago,84,Miami,89
2016-01-26,Brooklyn,98,Miami,102
2016-01-29,Milwaukee,103,Miami,107
2016-01-31,Miami,105,Atlanta,87
2016-02-02,Houston,115,Miami,102
2016-02-03,Dallas,90,Miami,93
2016-02-05,Charlotte,95,Miami,98
2016-02-07,Miami,93,LA,100
2016-02-09,Miami,101,San Antonio,119
2016-02-19,Atlanta,111,Miami,115
2016-02-20,Miami,114,Washington,94
2016-02-22,Miami,101,Indiana,93 OT
2016-02-24,Miami,112,Golden State,118
2016-02-27,Boston,101,Miami,89
2016-02-28,NY Knicks,81,Miami,98
2016-03-01,Miami,129,Chicago,111
2016-03-03,Miami,108,Phoenix,92
2016-03-04,Philadelphia,102,Miami,112
2016-03-06,Miami,103,Philadelphia,98
2016-03-09,Milwaukee,114,Miami,108
2016-03-11,Chicago,96,Miami,118
2016-03-12,Toronto,112,Miami,104 OT
2016-03-14,Miami,124,Denver,119
2016-03-17,Miami,106,Charlotte,109
2016-03-19,Miami,122,Cleveland,101
2016-03-22,New Orleans,99,Miami,113
2016-03-23,San Antonio,112,Miami,88
2016-03-25,Miami,108,Orlando,97
2016-03-28,Miami,110,Brooklyn,99
2016-03-30,Los Angeles,102,Miami,100 OT
2016-04-01,Sacramento,106,Miami,112
2016-04-02,Portland,110,Miami,93
2016-04-05,Miami,107,Detroit,89
2016-04-07,Miami,106,Chicago,98
2016-04-08,Orlando,112,Miami,109
2016-04-10,Miami,118,Orlando,96
2016-04-12,Detroit,93,Miami,99
2016-04-13,Boston,98,Miami,88
