date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Milwaukee,97,NY Knicks,122
2016-10-30,Milwaukee,113,Washington,118
2016-11-01,Toronto,106,Milwaukee,87
2016-11-02,Brooklyn,96,Milwaukee,103
2016-11-04,Milwaukee,91,Philadelphia,87
2016-11-06,NY Knicks,92,Milwaukee,99
2016-11-07,Milwaukee,94,Brooklyn,86
2016-11-10,Milwaukee,83,Boston,99
2016-11-11,Denver,103,Milwaukee,102
2016-11-14,Milwaukee,108,Cleveland,105 2OT
2016-11-17,Washington,115,Milwaukee,86
2016-11-19,Cleveland,115,Milwaukee,100
2016-11-21,Indiana,123,Milwaukee,86
2016-11-23,Milwaukee,109,Detroit,88
2016-11-25,Milwaukee,118,Sacramento,129
2016-11-27,Orlando,114,Milwaukee,90
2016-11-29,Charlotte,87,Milwaukee,82
2016-11-30,Milwaukee,92,Denver,74
2016-12-02,San Antonio,95,Milwaukee,70
2016-12-04,Detroit,102,Milwaukee,95
2016-12-05,Milwaukee,106,NY Knicks,91
2016-12-07,Milwaukee,90,Portland,88
2016-12-09,Milwaukee,95,LA,109
2016-12-11,Toronto,90,Milwaukee,83
2016-12-12,Milwaukee,108,Golden State,95
2016-12-15,Los Angeles,113,Milwaukee,95
2016-12-16,LA,103,Milwaukee,90
2016-12-18,Golden State,121,Milwaukee,112
2016-12-20,Phoenix,95,Milwaukee,101
2016-12-23,Milwaukee,113,Philadelphia,100
2016-12-26,Milwaukee,90,Toronto,111
2016-12-28,Dallas,103,Milwaukee,93
2016-12-29,Oklahoma City,131,Milwaukee,123
2016-12-31,Indiana,116,Milwaukee,120
2016-01-02,Minnesota,85,Milwaukee,95
2016-01-04,Milwaukee,98,San Antonio,123
2016-01-05,Chicago,117,Milwaukee,106
2016-01-08,Milwaukee,96,Dallas,95
2016-01-10,NY Knicks,100,Milwaukee,88
2016-01-12,Milwaukee,106,Chicago,101
2016-01-13,Washington,106,Milwaukee,101
2016-01-15,Milwaukee,108,Atlanta,101 OT
2016-01-16,Charlotte,92,Milwaukee,105
2016-01-19,Miami,79,Milwaukee,91
2016-01-22,Houston,102,Milwaukee,98
2016-01-23,New Orleans,116,Milwaukee,99
2016-01-26,Milwaukee,107,Orlando,100
2016-01-28,Memphis,103,Milwaukee,83
2016-01-29,Milwaukee,103,Miami,107
2016-02-01,Sacramento,111,Milwaukee,104
2016-02-02,Portland,107,Milwaukee,95
2016-02-05,Utah,84,Milwaukee,81
2016-02-09,Milwaukee,112,Boston,111
2016-02-11,Milwaukee,99,Washington,92
2016-02-19,Milwaukee,95,Charlotte,98
2016-02-20,Atlanta,109 2OT,Milwaukee,117
2016-02-22,Milwaukee,108,Los Angeles,101
2016-02-25,Boston,112,Milwaukee,107
2016-02-27,Milwaukee,91,Detroit,102
2016-02-29,Milwaukee,128,Houston,121
2016-03-02,Milwaukee,99,Indiana,104
2016-03-04,Milwaukee,116,Minnesota,101
2016-03-06,Milwaukee,96,Oklahoma City,104
2016-03-07,Chicago,100,Milwaukee,90
2016-03-09,Milwaukee,114,Miami,108
2016-03-12,Milwaukee,103,New Orleans,92
2016-03-13,Brooklyn,100,Milwaukee,109
2016-03-15,Milwaukee,89,Toronto,107
2016-03-17,Milwaukee,96,Memphis,86
2016-03-20,Milwaukee,85,Utah,94
2016-03-21,Detroit,92,Milwaukee,91
2016-03-23,Cleveland,113,Milwaukee,104
2016-03-25,Atlanta,101,Milwaukee,90
2016-03-26,Milwaukee,91,Charlotte,115
2016-03-30,Milwaukee,105,Phoenix,94
2016-04-01,Milwaukee,113,Orlando,110
2016-04-03,Milwaukee,98,Chicago,102
2016-04-05,Milwaukee,80,Cleveland,109
2016-04-08,Boston,124,Milwaukee,109
2016-04-10,Philadelphia,108 OT,Milwaukee,109
2016-04-11,Orlando,107,Milwaukee,98
2016-04-13,Milwaukee,92,Indiana,97
