date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Los Angeles,111,Minnesota,112
2016-10-30,Denver,78,Minnesota,95
2016-11-02,Minnesota,101,Portland,106
2016-11-05,Minnesota,84,Miami,96
2016-11-07,Chicago,93 OT,Minnesota,102
2016-11-09,Atlanta,107,Minnesota,117
2016-11-10,Minnesota,95,Charlotte,104
2016-11-12,Minnesota,116,Golden State,129
2016-11-13,Indiana,107,Minnesota,103
2016-11-15,Minnesota,106,Memphis,114
2016-11-17,Miami,91,Minnesota,103
2016-11-18,Orlando,104,Minnesota,101 OT
2016-11-20,Minnesota,86,Detroit,96
2016-11-23,Minnesota,100,Philadelphia,95
2016-11-25,Minnesota,99,Atlanta,95
2016-11-27,Sacramento,91,Minnesota,101
2016-11-29,LA,107,Minnesota,99
2016-12-01,Minnesota,93,Orlando,96
2016-12-05,Minnesota,103,Portland,109
2016-12-07,Minnesota,106,LA,110
2016-12-09,Minnesota,123,Los Angeles,122 OT
2016-12-11,Denver,111,Minnesota,108 OT
2016-12-13,Phoenix,108,Minnesota,101
2016-12-15,Minnesota,100,Denver,112
2016-12-16,NY Knicks,107,Minnesota,102
2016-12-18,Minnesota,99,Sacramento,95
2016-12-20,Brooklyn,85,Minnesota,100
2016-12-21,Boston,113,Minnesota,99
2016-12-23,Minnesota,83,San Antonio,108
2016-12-26,Minnesota,88,Indiana,102
2016-12-28,San Antonio,101,Minnesota,95
2016-12-30,Minnesota,94,Utah,80
2016-12-31,Detroit,115,Minnesota,90
2016-01-02,Minnesota,85,Milwaukee,95
2016-01-04,Philadelphia,109,Minnesota,99
2016-01-06,Minnesota,74,Denver,78
2016-01-08,Minnesota,99,Cleveland,125
2016-01-10,Minnesota,87,Dallas,93
2016-01-12,Minnesota,96,Oklahoma City,101
2016-01-13,Houston,107,Minnesota,104
2016-01-15,Oklahoma City,113,Minnesota,93
2016-01-17,Minnesota,117,Phoenix,87
2016-01-19,New Orleans,114,Minnesota,99
2016-01-20,Dallas,106,Minnesota,94 OT
2016-01-23,Minnesota,106,Memphis,101
2016-01-25,Cleveland,114,Minnesota,107
2016-01-27,Minnesota,123,Oklahoma City,126
2016-01-29,Utah,103,Minnesota,90
2016-01-31,Portland,96,Minnesota,93
2016-02-02,Los Angeles,119,Minnesota,115
2016-02-03,LA,102,Minnesota,108
2016-02-06,Minnesota,112,Chicago,105
2016-02-08,Minnesota,102,New Orleans,116
2016-02-10,Minnesota,117,Toronto,112
2016-02-19,Memphis,109,Minnesota,104
2016-02-20,Minnesota,95,NY Knicks,103
2016-02-22,Minnesota,124,Boston,122
2016-02-24,Toronto,114,Minnesota,105
2016-02-27,New Orleans,110,Minnesota,112
2016-02-28,Dallas,128,Minnesota,101
2016-03-02,Minnesota,98,Washington,104
2016-03-04,Milwaukee,116,Minnesota,101
2016-03-05,Minnesota,132,Brooklyn,118
2016-03-07,Charlotte,108,Minnesota,103
2016-03-08,Minnesota,91,San Antonio,116
2016-03-11,Oklahoma City,96,Minnesota,99
2016-03-14,Phoenix,107,Minnesota,104
2016-03-16,Memphis,108,Minnesota,114
2016-03-18,Houston,116,Minnesota,111
2016-03-21,Minnesota,104,Golden State,109
2016-03-23,Minnesota,113,Sacramento,104
2016-03-25,Washington,129 2OT,Minnesota,132
2016-03-26,Minnesota,84,Utah,93
2016-03-28,Minnesota,121,Phoenix,116
2016-03-30,Minnesota,79,LA,99
2016-04-01,Utah,98,Minnesota,85
2016-04-03,Minnesota,78,Dallas,88
2016-04-05,Golden State,117 OT,Minnesota,124
2016-04-07,Sacramento,97,Minnesota,105
2016-04-09,Portland,105,Minnesota,106
2016-04-11,Minnesota,105,Houston,129
2016-04-13,Minnesota,144,New Orleans,109
