date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Milwaukee,97,New,122
2016-10-29,New,101,Atlanta,112
2016-10-31,Washington,110,New,117
2016-11-02,New,84,San Antonio,94
2016-11-04,Cleveland,96,New,86
2016-11-06,New,92,Milwaukee,99
2016-11-08,New,99,Los Angeles,95
2016-11-10,Toronto,109,New,111
2016-11-11,Charlotte,95,New,93
2016-11-13,New,84,Cleveland,90
2016-11-15,New,95,New Orleans,87
2016-11-17,New,102,Charlotte,94
2016-11-20,Oklahoma City,90,New,93
2016-11-21,Houston,102,New,107
2016-11-23,Miami,95,New,78
2016-11-25,Orlando,100,New,91
2016-11-27,New,78,Miami,97
2016-11-29,New,111 OT,Houston,116
2016-12-02,New,99,Philadelphia,87
2016-12-04,New,108,Brooklyn,91
2016-12-05,Milwaukee,106,New,91
2016-12-07,New,97,Dallas,104
2016-12-09,Utah,106,New,85
2016-12-10,Sacramento,99,New,97
2016-12-12,Portland,110,New,112
2016-12-16,New,107,Minnesota,102
2016-12-18,Philadelphia,97,New,107
2016-12-19,New,107,Chicago,91
2016-12-21,New,99,Orlando,107
2016-12-23,Cleveland,91,New,84
2016-12-26,Atlanta,117,New,98
2016-12-27,Boston,100,New,91
2016-12-29,New,108,Detroit,96
2016-01-01,Chicago,108,New,81
2016-01-03,New,111,Atlanta,97
2016-01-05,Atlanta,101,New,107
2016-01-06,Miami,90,New,98
2016-01-08,San Antonio,100,New,99
2016-01-10,New,100,Milwaukee,88
2016-01-12,New,120,Boston,114
2016-01-13,Brooklyn,110,New,104
2016-01-16,Memphis,103,New,95
2016-01-18,New,119,Philadelphia,113 2OT
2016-01-20,New,118,Utah,111 OT
2016-01-22,New,88,LA,116
2016-01-23,Charlotte,97,New,84
2016-01-26,New,122 OT,Oklahoma City,128
2016-01-28,Toronto,103,New,93
2016-01-29,New,102,Phoenix,84
2016-01-31,New,95,Golden State,116
2016-02-02,New,89,Boston,97
2016-02-04,Detroit,111,New,105
2016-02-05,New,85,Memphis,91
2016-02-07,New,96,Denver,101
2016-02-09,New,108,Washington,111
2016-02-19,Brooklyn,109,New,98
2016-02-20,Minnesota,95,New,103
2016-02-22,New,95,Toronto,122
2016-02-24,Indiana,108,New,105
2016-02-26,New,108,Orlando,95
2016-02-28,New,81,Miami,98
2016-03-01,New,85,Portland,104
2016-03-04,Boston,105,New,104
2016-03-05,New,102,Detroit,89
2016-03-08,Denver,110,New,94
2016-03-09,Phoenix,97,New,128
2016-03-11,LA,101,New,94
2016-03-13,Los Angeles,87,New,90
2016-03-16,Golden State,121,New,85
2016-03-19,Washington,99,New,89
2016-03-20,New,80,Sacramento,88
2016-03-23,Chicago,107,New,115
2016-03-24,New,106,Chicago,94
2016-03-26,New,93,Cleveland,107
2016-03-28,New Orleans,99,New,91
2016-03-30,Dallas,91,New,89
2016-04-01,New,105,Brooklyn,91
2016-04-03,New,87,Indiana,92
2016-04-06,New,97,Charlotte,111
2016-04-08,Philadelphia,102,New,109
2016-04-10,New,89,Toronto,93
2016-04-12,Indiana,102,New,90
