date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Oklahoma,112,San Antonio,106
2016-10-30,Orlando,136 2OT,Oklahoma,139
2016-11-01,Oklahoma,117,Denver,93
2016-11-02,Houston,110,Oklahoma,105
2016-11-04,Oklahoma,98,Toronto,103
2016-11-05,Chicago,104,Oklahoma,98
2016-11-08,Oklahoma,124,Phoenix,103
2016-11-10,Washington,101,Oklahoma,125
2016-11-13,Oklahoma,102,Philadelphia,85
2016-11-15,Oklahoma,85,Boston,100
2016-11-16,Memphis,122,Oklahoma,114
2016-11-18,Oklahoma,110,New Orleans,103
2016-11-20,Oklahoma,90,NY Knicks,93
2016-11-22,Oklahoma,117,Dallas,114
2016-11-23,Utah,89,Oklahoma,111
2016-11-25,Oklahoma,110,Brooklyn,99
2016-11-27,Oklahoma,103,Detroit,87
2016-11-30,Atlanta,106,Oklahoma,100
2016-12-03,Miami,97,Oklahoma,95
2016-12-06,Oklahoma,98,Sacramento,95
2016-12-08,Memphis,88,Oklahoma,125
2016-12-10,Oklahoma,107,Atlanta,94
2016-12-11,Utah,90,Oklahoma,94
2016-12-13,Oklahoma,104,Utah,98 OT
2016-12-16,Oklahoma,106,Portland,90
2016-12-17,Cleveland,104,Oklahoma,100
2016-12-19,Oklahoma,118,Los Angeles,78
2016-12-21,LA,99,Oklahoma,100
2016-12-23,Los Angeles,85,Oklahoma,120
2016-12-25,Oklahoma,96,Chicago,105
2016-12-27,Oklahoma,122,Denver,112
2016-12-29,Oklahoma,131,Milwaukee,123
2016-12-31,Oklahoma,110,Phoenix,106
2016-01-02,Charlotte,90,Oklahoma,109
2016-01-04,Oklahoma,104,Sacramento,116
2016-01-06,Oklahoma,112,Memphis,94
2016-01-08,Los Angeles,113,Oklahoma,117
2016-01-10,Portland,115,Oklahoma,110
2016-01-12,Minnesota,96,Oklahoma,101
2016-01-13,Oklahoma,108,Dallas,89
2016-01-15,Oklahoma,113,Minnesota,93
2016-01-17,Oklahoma,99,Miami,74
2016-01-19,Denver,104,Oklahoma,110
2016-01-20,Oklahoma,109,Charlotte,95
2016-01-22,Dallas,106,Oklahoma,109
2016-01-24,Brooklyn,116,Oklahoma,106
2016-01-26,NY Knicks,122 OT,Oklahoma,128
2016-01-27,Minnesota,123,Oklahoma,126
2016-01-29,Oklahoma,116,Houston,108
2016-02-01,Oklahoma,114,Washington,98
2016-02-03,Oklahoma,117,Orlando,114
2016-02-06,Golden State,116,Oklahoma,108
2016-02-08,Phoenix,106,Oklahoma,122
2016-02-11,Oklahoma,121,New Orleans,95
2016-02-19,Oklahoma,98,Indiana,101
2016-02-21,Oklahoma,92,Cleveland,115
2016-02-24,Dallas,103,Oklahoma,116
2016-02-25,New Orleans,123,Oklahoma,119
2016-02-27,Oklahoma,118 OT,Golden State,121
2016-02-29,Sacramento,116,Oklahoma,131
2016-03-02,LA,103,Oklahoma,98
2016-03-03,Golden State,121,Oklahoma,106
2016-03-06,Milwaukee,96,Oklahoma,104
2016-03-09,Oklahoma,120,LA,108
2016-03-11,Oklahoma,96,Minnesota,99
2016-03-12,San Antonio,93,Oklahoma,85
2016-03-14,Oklahoma,128,Portland,94
2016-03-16,Boston,109,Oklahoma,130
2016-03-18,Philadelphia,97,Oklahoma,111
2016-03-19,Indiana,111,Oklahoma,115
2016-03-22,Oklahoma,111,Houston,107
2016-03-24,Oklahoma,113,Utah,91
2016-03-26,Oklahoma,111,San Antonio,92
2016-03-28,Toronto,100,Oklahoma,119
2016-03-29,Detroit,88,Oklahoma,82
2016-03-31,Oklahoma,119,LA,117
2016-04-03,Houston,118,Oklahoma,110
2016-04-05,Denver,102,Oklahoma,124
2016-04-06,Portland,120,Oklahoma,115
2016-04-09,Sacramento,114,Oklahoma,112
2016-04-11,Oklahoma,112,Los Angeles,79
2016-04-12,San Antonio,102,Oklahoma,98 OT
