date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Orlando,87,Washington,88
2016-10-30,Orlando,136 2OT,Oklahoma City,139
2016-11-01,Chicago,92,Orlando,87
2016-11-03,New Orleans,94,Orlando,103
2016-11-04,Houston,119,Orlando,114 OT
2016-11-06,Orlando,92,Toronto,87
2016-11-07,Philadelphia,97,Orlando,105
2016-11-09,Indiana,97,Orlando,84
2016-11-11,Orlando,101,Los Angeles,99
2016-11-13,Orlando,102,Utah,93
2016-11-14,Washington,108,Orlando,99
2016-11-18,Orlando,104,Minnesota,101 OT
2016-11-21,Orlando,91,Sacramento,97
2016-11-23,Cleveland,117,Orlando,103
2016-11-25,Orlando,100,NY Knicks,91
2016-11-27,Orlando,114,Milwaukee,90
2016-11-29,Orlando,110,Boston,91
2016-12-01,Minnesota,93,Orlando,96
2016-12-03,Utah,94,Orlando,103
2016-12-05,LA,103,Orlando,101
2016-12-08,Denver,74,Orlando,85
2016-12-09,Phoenix,107,Orlando,104
2016-12-11,Orlando,76,Cleveland,111
2016-12-14,Brooklyn,82,Orlando,105
2016-12-16,Orlando,113,Charlotte,98
2016-12-18,Orlando,102,Portland,94
2016-12-20,Orlando,100,Atlanta,103
2016-12-21,NY Knicks,99,Orlando,107
2016-12-23,Orlando,104,Houston,101
2016-12-26,Orlando,101,Miami,108
2016-12-28,Orlando,104,New Orleans,89
2016-12-30,Orlando,100,Brooklyn,93
2016-01-01,Washington,103,Orlando,91
2016-01-02,Cleveland,104,Orlando,79
2016-01-04,Detroit,115,Orlando,89
2016-01-06,Orlando,86,Indiana,95
2016-01-08,Brooklyn,77,Orlando,83
2016-01-09,Orlando,99,Washington,105
2016-01-14,Orlando,103 OT,Toronto,106
2016-01-18,Atlanta,98,Orlando,81
2016-01-20,Orlando,87,Philadelphia,96
2016-01-22,Orlando,116 OT,Charlotte,120
2016-01-25,Memphis,108,Orlando,102 OT
2016-01-26,Milwaukee,107,Orlando,100
2016-01-29,Boston,113,Orlando,94
2016-01-31,Orlando,119,Boston,114
2016-02-01,San Antonio,107,Orlando,92
2016-02-03,Oklahoma City,117,Orlando,114
2016-02-05,Orlando,93,LA,107
2016-02-07,Orlando,96,Atlanta,94
2016-02-08,Atlanta,110 OT,Orlando,117
2016-02-10,Orlando,96,San Antonio,98
2016-02-19,Orlando,110,Dallas,104 OT
2016-02-21,Orlando,102,Indiana,105
2016-02-23,Philadelphia,115,Orlando,124
2016-02-25,Orlando,114,Golden State,130
2016-02-26,NY Knicks,108,Orlando,95
2016-02-28,Orlando,130,Philadelphia,116
2016-03-01,Dallas,121,Orlando,108
2016-03-02,Orlando,102,Chicago,89
2016-03-04,Orlando,84,Phoenix,102
2016-03-07,Golden State,119,Orlando,113
2016-03-08,Los Angeles,107,Orlando,98
2016-03-11,Sacramento,100,Orlando,107
2016-03-12,Portland,121,Orlando,84
2016-03-15,Orlando,116,Denver,110
2016-03-16,Charlotte,107,Orlando,99
2016-03-18,Orlando,103,Cleveland,109
2016-03-20,Toronto,105,Orlando,100
2016-03-21,Boston,107,Orlando,96
2016-03-23,Detroit,118,Orlando,102
2016-03-25,Miami,108,Orlando,97
2016-03-26,Orlando,111,Chicago,89
2016-03-29,Orlando,139,Brooklyn,105
2016-03-31,Indiana,94,Orlando,114
2016-04-01,Milwaukee,113,Orlando,110
2016-04-03,Orlando,119,Memphis,107
2016-04-06,Orlando,104,Detroit,108
2016-04-08,Orlando,112,Miami,109
2016-04-10,Miami,118,Orlando,96
2016-04-11,Orlando,107,Milwaukee,98
2016-04-13,Charlotte,117,Orlando,103
