date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Portland,112,New Orleans,94
2016-10-30,Phoenix,110,Portland,92
2016-10-31,Portland,90,Phoenix,101
2016-11-02,Minnesota,101,Portland,106
2016-11-04,Utah,92,Portland,108
2016-11-05,Portland,115,Memphis,96
2016-11-08,Portland,103,Detroit,120
2016-11-09,Denver,108,Portland,104
2016-11-11,Portland,101,San Antonio,113
2016-11-13,Memphis,101,Portland,100
2016-11-15,Charlotte,106,Portland,94
2016-11-16,San Antonio,93,Portland,80
2016-11-18,Houston,108,Portland,103 OT
2016-11-20,Portland,102,LA,91
2016-11-22,Los Angeles,93,Portland,107
2016-11-24,Portland,88,Chicago,93
2016-11-28,Portland,108,Los Angeles,96
2016-11-30,LA,102,Portland,87
2016-12-01,Portland,112 OT,Dallas,115
2016-12-03,Portland,123,Indiana,111
2016-12-05,Minnesota,103,Portland,109
2016-12-07,Milwaukee,90,Portland,88
2016-12-08,Cleveland,105,Portland,100
2016-12-11,Phoenix,96,Portland,106
2016-12-12,Portland,110,NY Knicks,112
2016-12-14,Portland,105,New Orleans,101
2016-12-16,Oklahoma City,106,Portland,90
2016-12-18,Orlando,102,Portland,94
2016-12-20,Miami,116,Portland,109
2016-12-21,Atlanta,106,Portland,97
2016-12-23,New Orleans,115,Portland,89
2016-12-26,Portland,105,Cleveland,76
2016-12-27,Sacramento,94,Portland,98
2016-12-30,Portland,110,Denver,103
2016-12-31,Utah,109,Portland,96
2016-01-03,Denver,106,Portland,112
2016-01-04,Portland,78,Memphis,91
2016-01-06,Portland,98,LA,109
2016-01-08,Portland,108,Golden State,128
2016-01-10,Portland,115,Oklahoma City,110
2016-01-13,Portland,99,Utah,85
2016-01-15,Brooklyn,104,Portland,116
2016-01-16,Philadelphia,114,Portland,89
2016-01-18,Washington,98,Portland,108
2016-01-20,Portland,98,Atlanta,104
2016-01-23,Portland,121,Los Angeles,103
2016-01-26,Portland,112,Sacramento,97
2016-01-29,Portland,109,Charlotte,91
2016-01-31,Portland,96,Minnesota,93
2016-02-02,Portland,107,Milwaukee,95
2016-02-04,Portland,103,Toronto,110
2016-02-06,Houston,79,Portland,96
2016-02-08,Memphis,106 OT,Portland,112
2016-02-10,Portland,116,Houston,103
2016-02-19,Portland,137,Golden State,105
2016-02-21,Portland,115,Utah,111
2016-02-23,Portland,112,Brooklyn,104
2016-02-25,Portland,105,Houston,119
2016-02-27,Chicago,95,Portland,103
2016-02-28,Indiana,102,Portland,111
2016-03-01,NY Knicks,85,Portland,104
2016-03-02,Boston,116,Portland,93
2016-03-04,Toronto,117,Portland,115
2016-03-06,Detroit,123,Portland,103
2016-03-08,Portland,116,Washington,109 OT
2016-03-11,Golden State,128,Portland,112
2016-03-12,Portland,121,Orlando,84
2016-03-14,Oklahoma City,128,Portland,94
2016-03-17,San Antonio,118,Portland,110
2016-03-18,New Orleans,112,Portland,117
2016-03-20,Dallas,132,Portland,120 OT
2016-03-23,Portland,109,Dallas,103
2016-03-24,LA,96,Portland,94
2016-03-26,Portland,108,Philadelphia,105
2016-03-28,Portland,105,Sacramento,93
2016-03-31,Portland,116,Boston,109
2016-04-02,Portland,110,Miami,93
2016-04-03,Golden State,136,Portland,111
2016-04-05,Sacramento,107,Portland,115
2016-04-06,Portland,120,Oklahoma City,115
2016-04-09,Portland,105,Minnesota,106
2016-04-13,Portland,107,Denver,99
