date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Oklahoma City,112,San,106
2016-10-30,San,102,Brooklyn,75
2016-11-01,Boston,87,San,95
2016-11-02,NY Knicks,84,San,94
2016-11-04,Washington,102,San,99
2016-11-07,San,114,Charlotte,94
2016-11-09,Sacramento,88,San,106
2016-11-11,Portland,101,San,113
2016-11-14,San,92,Philadelphia,83
2016-11-16,San,93,Portland,80
2016-11-18,San,109,Denver,98
2016-11-20,New Orleans,104,San,90
2016-11-21,San,92,Memphis,82
2016-11-23,San,98,Phoenix,84
2016-11-25,San,88,Dallas,83
2016-11-27,Denver,80,San,91
2016-11-28,San,108,Atlanta,88
2016-11-30,Chicago,92,San,89
2016-12-02,San,95,Milwaukee,70
2016-12-03,Memphis,83,San,103
2016-12-05,San,108,Boston,105
2016-12-07,Philadelphia,68,San,119
2016-12-09,Toronto,97,San,94
2016-12-11,San,109,Los Angeles,87
2016-12-12,Atlanta,78,San,103
2016-12-14,San,118,Utah,81
2016-12-16,San,114,Washington,95
2016-12-18,San,115,LA,107
2016-12-21,San,106,Indiana,92
2016-12-23,Minnesota,83,San,108
2016-12-25,Houston,88,San,84
2016-12-26,San,101,Denver,86
2016-12-28,San,101,Minnesota,95
2016-12-30,San,112,Phoenix,79
2016-01-02,San,121,Houston,103
2016-01-04,Milwaukee,98,San,123
2016-01-06,San,123,Utah,98
2016-01-08,San,100,NY Knicks,99
2016-01-11,Brooklyn,79,San,106
2016-01-12,Detroit,99,San,109
2016-01-14,San,99,Cleveland,95
2016-01-17,San,112,Dallas,83
2016-01-21,Phoenix,89,San,117
2016-01-22,Los Angeles,95,San,108
2016-01-25,Golden State,120,San,90
2016-01-27,San,130,Houston,99
2016-01-30,Cleveland,117,San,103
2016-02-01,San,107,Orlando,92
2016-02-03,San,110,New Orleans,97
2016-02-05,Dallas,90,San,116
2016-02-06,San,106,Los Angeles,102
2016-02-09,Miami,101,San,119
2016-02-10,Orlando,96,San,98
2016-02-18,LA,105,San,86
2016-02-19,Los Angeles,113,San,119
2016-02-21,Phoenix,111,San,118
2016-02-24,Sacramento,92,San,108
2016-02-25,Utah,78,San,96
2016-02-27,Houston,94,San,104
2016-03-02,San,97,Detroit,81
2016-03-03,New Orleans,86,San,94
2016-03-05,San,104,Sacramento,94
2016-03-07,Indiana,99,San,91
2016-03-08,Minnesota,91,San,116
2016-03-10,San,109,Chicago,101
2016-03-12,San,93,Oklahoma City,85
2016-03-15,San,108,LA,87
2016-03-17,San,118,Portland,110
2016-03-19,San,87,Golden State,79
2016-03-21,Charlotte,91,San,88
2016-03-23,San,112,Miami,88
2016-03-25,San,110,Memphis,104
2016-03-26,Oklahoma City,111,San,92
2016-03-28,Memphis,87,San,101
2016-03-30,San,100,New Orleans,92
2016-04-02,San,102,Toronto,95
2016-04-05,Utah,86,San,88
2016-04-07,Golden State,112,San,101
2016-04-08,Denver,102,San,98
2016-04-10,San,86,Golden State,92
2016-04-12,San,102,Oklahoma City,98 OT
2016-04-13,Dallas,91,San,96
