date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Sacramento,104,LA,111
2016-10-30,Sacramento,132,Los Angeles,114
2016-10-31,LA,114,Sacramento,109
2016-11-03,Sacramento,89,Memphis,103
2016-11-04,Phoenix,118,Sacramento,97
2016-11-06,Sacramento,110,Houston,116
2016-11-07,Sacramento,94,Golden State,103
2016-11-09,Sacramento,88,San Antonio,106
2016-11-11,Sacramento,101,Detroit,92
2016-11-13,Sacramento,111,Brooklyn,109
2016-11-15,Sacramento,107,Toronto,101
2016-11-18,Atlanta,103,Sacramento,97
2016-11-19,Miami,116,Sacramento,109
2016-11-21,Orlando,91,Sacramento,97
2016-11-23,Charlotte,127,Sacramento,122 OT
2016-11-25,Milwaukee,118,Sacramento,129
2016-11-27,Sacramento,91,Minnesota,101
2016-11-28,Golden State,120,Sacramento,101
2016-11-30,Sacramento,112,Dallas,98
2016-12-03,Sacramento,97,Boston,114
2016-12-05,Houston,120,Sacramento,113
2016-12-06,Oklahoma City,98,Sacramento,95
2016-12-08,Sacramento,114,Utah,106
2016-12-10,Sacramento,99,NY Knicks,97
2016-12-15,Sacramento,107,Houston,97
2016-12-18,Minnesota,99,Sacramento,95
2016-12-20,Toronto,94,Sacramento,104
2016-12-21,Washington,113,Sacramento,99
2016-12-23,Indiana,106,Sacramento,108
2016-12-27,Sacramento,94,Portland,98
2016-12-28,Golden State,122,Sacramento,103
2016-12-30,Sacramento,105,Philadelphia,110
2016-01-02,Sacramento,142,Phoenix,119
2016-01-04,Oklahoma City,104,Sacramento,116
2016-01-05,Dallas,117,Sacramento,116 2OT
2016-01-07,Sacramento,118,Los Angeles,115
2016-01-09,Sacramento,116,Golden State,128
2016-01-13,Sacramento,97,New Orleans,109
2016-01-14,Utah,101,Sacramento,103
2016-01-16,LA,103,Sacramento,110
2016-01-20,Los Angeles,93,Sacramento,112
2016-01-21,Sacramento,91,Atlanta,88
2016-01-23,Sacramento,108,Indiana,97
2016-01-25,Sacramento,128 2OT,Charlotte,129
2016-01-26,Portland,112,Sacramento,97
2016-01-28,New Orleans,114,Sacramento,105
2016-01-30,Memphis,121,Sacramento,117
2016-02-01,Sacramento,111,Milwaukee,104
2016-02-03,Sacramento,102,Chicago,107
2016-02-05,Brooklyn,128,Sacramento,119
2016-02-07,Boston,128,Sacramento,119
2016-02-08,Cleveland,120,Sacramento,100
2016-02-10,Philadelphia,110,Sacramento,114
2016-02-19,Sacramento,116,Denver,110
2016-02-23,Denver,110,Sacramento,114
2016-02-24,Sacramento,92,San Antonio,108
2016-02-26,Sacramento,107,LA,117
2016-02-29,Sacramento,116,Oklahoma City,131
2016-03-02,Memphis,104,Sacramento,98
2016-03-03,Dallas,101,Sacramento,104
2016-03-05,San Antonio,104,Sacramento,94
2016-03-07,New Orleans,115,Sacramento,112
2016-03-09,Sacramento,111,Cleveland,120
2016-03-11,Sacramento,100,Orlando,107
2016-03-13,Sacramento,99,Utah,108
2016-03-15,Los Angeles,98,Sacramento,106
2016-03-16,Sacramento,108,New Orleans,123
2016-03-18,Detroit,115,Sacramento,108
2016-03-20,NY Knicks,80,Sacramento,88
2016-03-21,Chicago,109,Sacramento,102
2016-03-23,Minnesota,113,Sacramento,104
2016-03-25,Sacramento,116,Phoenix,94
2016-03-27,Sacramento,133,Dallas,111
2016-03-28,Portland,105,Sacramento,93
2016-03-30,Sacramento,120,Washington,111
2016-04-01,Sacramento,106,Miami,112
2016-04-02,Denver,106,Sacramento,115
2016-04-05,Sacramento,107,Portland,115
2016-04-07,Sacramento,97,Minnesota,105
2016-04-09,Sacramento,114,Oklahoma City,112
2016-04-11,Phoenix,101,Sacramento,105
2016-04-13,Houston,116,Sacramento,81
