date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Toronto,106,Indiana,99
2016-10-30,Boston,103,Toronto,113
2016-11-01,Toronto,106,Milwaukee,87
2016-11-03,Dallas,91,Toronto,102
2016-11-04,Oklahoma City,98,Toronto,103
2016-11-06,Orlando,92,Toronto,87
2016-11-08,Miami,96,Toronto,76
2016-11-10,Toronto,109,NY Knicks,111
2016-11-11,Philadelphia,103,Toronto,119
2016-11-13,Toronto,100,New Orleans,81
2016-11-15,Sacramento,107,Toronto,101
2016-11-17,Golden State,115,Toronto,110
2016-11-18,Utah,93,Toronto,89
2016-11-20,Los Angeles,91,Toronto,102
2016-11-22,LA,80,Toronto,91
2016-11-25,Toronto,103,Cleveland,99
2016-11-28,Washington,82,Toronto,84
2016-11-29,Toronto,102,Phoenix,107
2016-12-02,Atlanta,86,Toronto,96
2016-12-03,Toronto,105,Denver,106
2016-12-05,Toronto,109,Golden State,112
2016-12-07,Toronto,102,Los Angeles,93
2016-12-09,Toronto,97,San Antonio,94
2016-12-11,Toronto,90,Milwaukee,83
2016-12-13,Toronto,96,Philadelphia,76
2016-12-14,Indiana,106,Toronto,90
2016-12-17,Charlotte,109,Toronto,99 OT
2016-12-18,Miami,94,Toronto,108
2016-12-20,Toronto,94,Sacramento,104
2016-12-22,Toronto,103,Dallas,99
2016-12-26,Milwaukee,90,Toronto,111
2016-12-28,Chicago,104,Toronto,97
2016-12-30,Toronto,94,Washington,91
2016-01-01,Toronto,104,Charlotte,94
2016-01-03,Toronto,113,Chicago,115
2016-01-04,Cleveland,122,Toronto,100
2016-01-06,Brooklyn,74,Toronto,91
2016-01-08,Washington,88,Toronto,97
2016-01-09,Philadelphia,95,Toronto,108
2016-01-14,Orlando,103 OT,Toronto,106
2016-01-18,Toronto,112,Brooklyn,100
2016-01-20,Toronto,115,Boston,109
2016-01-22,Toronto,101,Miami,81
2016-01-24,Toronto,112,LA,94
2016-01-26,Toronto,106,Washington,89
2016-01-28,Toronto,103,NY Knicks,93
2016-01-30,Toronto,111,Detroit,107
2016-02-01,Denver,112,Toronto,93
2016-02-02,Phoenix,97,Toronto,104
2016-02-04,Portland,103,Toronto,110
2016-02-08,Detroit,89,Toronto,103
2016-02-10,Minnesota,117,Toronto,112
2016-02-19,Chicago,116,Toronto,106
2016-02-21,Toronto,98,Memphis,85
2016-02-22,NY Knicks,95,Toronto,122
2016-02-24,Toronto,114,Minnesota,105
2016-02-26,Toronto,99,Cleveland,97
2016-02-28,Detroit,114,Toronto,101
2016-03-02,Toronto,104,Utah,94
2016-03-04,Toronto,117,Portland,115
2016-03-06,Toronto,107,Houston,113
2016-03-08,Toronto,104,Brooklyn,99
2016-03-10,Toronto,104,Atlanta,96
2016-03-12,Toronto,112,Miami,104 OT
2016-03-14,Toronto,107,Chicago,109
2016-03-15,Milwaukee,89,Toronto,107
2016-03-17,Indiana,94 OT,Toronto,101
2016-03-18,Toronto,105,Boston,91
2016-03-20,Toronto,105,Orlando,100
2016-03-23,Boston,91,Toronto,79
2016-03-25,Houston,112,Toronto,109
2016-03-26,New Orleans,91,Toronto,115
2016-03-28,Toronto,100,Oklahoma City,119
2016-03-30,Toronto,105,Atlanta,97
2016-04-01,Memphis,95,Toronto,99
2016-04-02,San Antonio,102,Toronto,95
2016-04-05,Toronto,96,Charlotte,90
2016-04-07,Atlanta,95,Toronto,87
2016-04-08,Toronto,111,Indiana,98
2016-04-10,NY Knicks,89,Toronto,93
2016-04-12,Toronto,122,Philadelphia,98
2016-04-13,Brooklyn,96,Toronto,103
