date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Detroit,92,Utah,87
2016-10-30,Philadelphia,71,Utah,99
2016-10-31,Indiana,76,Utah,97
2016-11-04,Utah,92,Portland,108
2016-11-05,Denver,84,Utah,96
2016-11-07,Utah,89,Memphis,79
2016-11-10,Cleveland,118,Utah,114
2016-11-12,Miami,92,Utah,91
2016-11-13,Orlando,102,Utah,93
2016-11-15,Atlanta,96,Utah,97
2016-11-18,Utah,93,Toronto,89
2016-11-20,Dallas,102,Utah,93
2016-11-23,Utah,89,Oklahoma City,111
2016-11-25,LA,91,Utah,102
2016-11-28,Utah,101,New Orleans,87
2016-11-30,Utah,103,Golden State,106
2016-12-03,Utah,94,Orlando,103
2016-12-05,Utah,122,Indiana,119 OT
2016-12-08,Sacramento,114,Utah,106
2016-12-09,Utah,106,NY Knicks,85
2016-12-11,Utah,90,Oklahoma City,94
2016-12-13,Oklahoma City,104,Utah,98 OT
2016-12-14,San Antonio,118,Utah,81
2016-12-16,Utah,94,New Orleans,104
2016-12-18,Utah,97,Denver,88
2016-12-21,Utah,110,Phoenix,89
2016-12-23,Golden State,103,Utah,85
2016-12-26,Utah,104,LA,109
2016-12-28,Utah,95,Philadelphia,91
2016-12-30,Minnesota,94,Utah,80
2016-12-31,Utah,109,Portland,96
2016-01-02,Utah,92,Memphis,87 OT
2016-01-04,Utah,91,Houston,93
2016-01-06,San Antonio,123,Utah,98
2016-01-07,Houston,103,Utah,94
2016-01-09,Utah,98,Miami,83
2016-01-10,Los Angeles,74,Utah,86
2016-01-13,Portland,99,Utah,85
2016-01-14,Utah,101,Sacramento,103
2016-01-16,Utah,109,Los Angeles,82
2016-01-18,Charlotte,124,Utah,119 2OT
2016-01-20,NY Knicks,118,Utah,111 OT
2016-01-22,Brooklyn,86,Utah,108
2016-01-23,Washington,-,Utah,-
2016-01-25,Utah,92,Detroit,95
2016-01-27,Utah,102,Charlotte,73
2016-01-29,Utah,103,Minnesota,90
2016-02-01,Utah,105,Chicago,96 OT
2016-02-03,Utah,85,Denver,81
2016-02-05,Utah,84,Milwaukee,81
2016-02-06,Phoenix,89,Utah,98
2016-02-09,Dallas,119 OT,Utah,121
2016-02-10,New Orleans,100,Utah,96
2016-02-18,Washington,103,Utah,89
2016-02-19,Utah,111,Boston,93
2016-02-21,Portland,115,Utah,111
2016-02-23,Utah,117,Houston,114 OT
2016-02-25,Utah,78,San Antonio,96
2016-02-27,Utah,96,Brooklyn,98
2016-02-29,Boston,100,Utah,95
2016-03-02,Toronto,104,Utah,94
2016-03-04,Memphis,94,Utah,88
2016-03-05,New Orleans,94,Utah,106
2016-03-08,Utah,84,Atlanta,91
2016-03-09,Golden State,115,Utah,94
2016-03-11,Utah,114,Washington,93
2016-03-13,Sacramento,99,Utah,108
2016-03-14,Utah,94,Cleveland,85
2016-03-17,Utah,103,Phoenix,69
2016-03-19,Chicago,92,Utah,85
2016-03-20,Milwaukee,85,Utah,94
2016-03-23,Houston,87,Utah,89
2016-03-24,Oklahoma City,113,Utah,91
2016-03-26,Minnesota,84,Utah,93
2016-03-28,Utah,123,Los Angeles,75
2016-03-30,Utah,96 OT,Golden State,103
2016-04-01,Utah,98,Minnesota,85
2016-04-03,Phoenix,86,Utah,101
2016-04-05,Utah,86,San Antonio,88
2016-04-08,Utah,99 OT,LA,102
2016-04-10,Denver,84,Utah,100
2016-04-11,Utah,92,Dallas,101
2016-04-13,Los Angeles,101,Utah,96
