date,home_team,home_team_score,visit_team,visit_team_score
2016-10-28,Orlando,87,Washington,88
2016-10-30,Milwaukee,113,Washington,118
2016-10-31,Washington,110,NY Knicks,117
2016-11-04,Washington,102,San Antonio,99
2016-11-06,Boston,118,Washington,98
2016-11-07,Atlanta,114,Washington,99
2016-11-10,Washington,101,Oklahoma City,125
2016-11-14,Washington,108,Orlando,99
2016-11-17,Washington,115,Milwaukee,86
2016-11-21,Detroit,95,Washington,97
2016-11-24,Washington,106,Indiana,123
2016-11-25,Charlotte,101,Washington,87
2016-11-27,Boston,111,Washington,78
2016-11-28,Washington,82,Toronto,84
2016-12-01,Cleveland,85,Washington,97
2016-12-02,Washington,104,Los Angeles,108
2016-12-04,Washington,109,Phoenix,106
2016-12-06,Washington,104,Dallas,116
2016-12-07,Miami,103,Washington,114
2016-12-09,Washington,103,Houston,109
2016-12-11,New Orleans,107,Washington,105
2016-12-12,Dallas,111,Washington,114
2016-12-14,Memphis,112,Washington,95
2016-12-16,San Antonio,114,Washington,95
2016-12-19,Washington,109,Charlotte,101
2016-12-21,Washington,113,Sacramento,99
2016-12-23,Washington,100,Memphis,91
2016-12-26,Brooklyn,96,Washington,111
2016-12-28,Washington,91,LA,108
2016-12-30,Toronto,94,Washington,91
2016-01-01,Washington,103,Orlando,91
2016-01-03,Washington,75,Miami,97
2016-01-06,Washington,115,Cleveland,121
2016-01-08,Washington,88,Toronto,97
2016-01-09,Orlando,99,Washington,105
2016-01-11,Chicago,100,Washington,114
2016-01-13,Washington,106,Milwaukee,101
2016-01-15,Indiana,104,Washington,118
2016-01-16,Washington,117,Boston,119
2016-01-18,Washington,98,Portland,108
2016-01-20,Washington,106,Miami,87
2016-01-23,Washington,-,Utah,-
2016-01-25,Washington,91,Boston,116
2016-01-26,Toronto,106,Washington,89
2016-01-28,Washington,113,Denver,117
2016-01-30,Houston,122,Washington,123
2016-02-01,Oklahoma City,114,Washington,98
2016-02-03,Washington,121,Golden State,134
2016-02-05,Washington,106,Philadelphia,94
2016-02-06,Charlotte,108,Washington,104
2016-02-09,NY Knicks,108,Washington,111
2016-02-11,Milwaukee,99,Washington,92
2016-02-18,Washington,103,Utah,89
2016-02-19,Washington,98,Detroit,86
2016-02-20,Miami,114,Washington,94
2016-02-23,Washington,109,New Orleans,89
2016-02-24,Chicago,109,Washington,104
2016-02-26,Philadelphia,94,Washington,103
2016-02-28,Washington,113,Cleveland,99
2016-02-29,Washington,116,Philadelphia,108
2016-03-02,Minnesota,98,Washington,104
2016-03-04,Cleveland,108,Washington,83
2016-03-05,Washington,99,Indiana,100
2016-03-08,Portland,116,Washington,109 OT
2016-03-11,Utah,114,Washington,93
2016-03-12,Denver,116,Washington,100
2016-03-14,Washington,124,Detroit,81
2016-03-16,Washington,117,Chicago,96
2016-03-17,Philadelphia,94,Washington,99
2016-03-19,Washington,99,NY Knicks,89
2016-03-21,Atlanta,102,Washington,117
2016-03-23,Washington,101,Atlanta,122
2016-03-25,Washington,129 2OT,Minnesota,132
2016-03-27,Los Angeles,88,Washington,101
2016-03-29,Golden State,102,Washington,94
2016-03-30,Sacramento,120,Washington,111
2016-04-01,Phoenix,99,Washington,106
2016-04-03,LA,114,Washington,109
2016-04-06,Washington,121,Brooklyn,103
2016-04-08,Detroit,112,Washington,99
2016-04-10,Washington,113,Charlotte,98
2016-04-11,Brooklyn,111,Washington,120
2016-04-13,Washington,109,Atlanta,98
